#Wavelength:um
#dk/dT:1e-4/K
#10.1364/OE.20.028829
wavelength,dk/dT
0.3418803418803419,-1.7122873268028767
0.358974358974359,-1.8468148485761864
0.37464387464387466,-2.0087214076812065
0.3888888888888889,-2.2595117210321325
0.4017094017094017,-2.4992529820931866
0.4145299145299145,-2.628500289560151
0.43447293447293445,-2.650682215477474
0.46153846153846156,-2.7412977169118076
0.4814814814814815,-2.858935645772134
0.5014245014245013,-2.8830622167102424
0.5313390313390314,-2.7183574857068717
0.5512820512820513,-2.4992529820931866
0.5626780626780628,-2.3564746584971275
0.5769230769230769,-2.166538561775845
0.5897435897435898,-1.9752425750524076
0.603988603988604,-1.8160344700849569
0.6168091168091169,-1.641831059262628
0.6339031339031339,-1.4473845804464185
0.6524216524216524,-1.275966922354921
0.6652421652421653,-1.1343433400100449
0.6823361823361823,-1.0517143756126341
0.7037037037037037,-0.9833332623922968
0.7236467236467237,-0.9271570066284521
0.7450142450142451,-0.9040748324484283
0.7621082621082621,-0.8173513026666533
0.7948717948717949,-0.8105113933262142
0.8219373219373219,-0.7903331872382486
0.8561253561253561,-0.7266309105547138
0.8846153846153847,-0.6298977731244271
0.9059829059829061,-0.5647091406864071
0.925925925925926,-0.493663089605716
0.9472934472934474,-0.41379793701792156
0.9643874643874645,-0.3557090301813772
0.9786324786324786,-0.30835507096780407
0.9943019943019943,-0.2650682215477475
1.0056980056980058,-0.2317199913684755
1.0128205128205128,-0.19752425750524089
1.0227920227920229,-0.17122873268028768
1.0356125356125356,-0.1459599065514144
1.03988603988604,-0.12030729738658502
1.0427350427350426,-0.10084390045553457
1.0626780626780628,0.10169492259085751
1.0626780626780628,0.1265289141525757
1.0641025641025639,0.15222351702955603
1.0683760683760686,0.1878116930656017
1.0726495726495728,0.22595117210321336
1.0826210826210825,0.2520344189394031
1.0968660968660968,0.2584691764932284
1.101139601139601,0.33821828286237215
1.1039886039886042,0.4103351170955342
1.1082621082621085,0.48953192744006285
1.1125356125356127,0.584014133811972
1.116809116809117,0.7085409634129617
1.1282051282051282,0.8173513026666533
1.141025641025641,0.9193982010218534
1.1595441595441596,1.1154375372050518
1.1752136752136755,1.341952755046881
1.183760683760684,1.600956611662987
1.200854700854701,1.878116930656015
1.2321937321937324,1.9099495587964224
1.2549857549857548,2.166538561775845
1.2706552706552707,2.520344189394031
1.2863247863247862,3.006783717609943
1.2948717948717952,3.587108603074547
1.3133903133903133,4.001195585900526
1.3276353276353277,4.73350109318144
1.3361823361823362,5.647091406864068
