# Wavelength:um
# 10.1364/OE.20.028829
wavelength,k
0.4013289523858178,1.2010968921389393
0.4183716916964517,1.1188299817184637
0.4344141065760841,1.036563071297989
0.4537595776585806,0.9323583180987196
0.46836795769951656,0.8665447897623397
0.4824901611326702,0.8171846435100538
0.5009911914218967,0.7842778793418645
0.5243388789286879,0.7733089579524677
0.5433674312630292,0.7897623400365625
0.5575383146463978,0.8062157221206578
0.5766285945115278,0.8391224862888476
0.5940150663723753,0.8665447897623397
0.6143543212060892,0.9104204753199263
0.6404433448821365,0.9652650822669102
0.6702899197084793,1.0201096892138932
0.6946151172647125,1.0639853747714803
0.7241124767111031,1.1188299817184637
0.7518784871785275,1.1736745886654476
0.7869182728320443,1.244972577696526
0.8154759788103387,1.2998171846435098
0.8501057866981779,1.3765996343692866
0.882702996290655,1.4478976234003653
0.9129270128188549,1.5082266910420472
0.9423178739918808,1.574040219378427
0.976515118753657,1.6453382084095058
1.0059589458470484,1.7001828153564893
1.0404032832218364,1.771480804387568
1.0696530007787377,1.8427787934186468
1.1062782417837311,1.9140767824497256
1.1328838852957988,1.9634369287020106
1.1786561137708595,2.067641681901279
1.2238515482441035,2.182815356489945
1.263252344195765,2.2705667276051185
1.3039216132100715,2.341864716636197
1.3432373818913532,2.4076782449725775
1.378268668640944,2.495429616087751
1.4226407844074374,2.5941499085923216
1.4568548474939929,2.709323583180987
1.5037569743570547,2.813528336380256
1.5460333372669801,2.9067641681901275
