Delay,dR/R,Delay,dR/R,Delay,dR/R,Delay,dR/R,Delay,dR/R,Delay,dR/R
ps,,ps,,ps,,ps,,ps,,ps,
,1.70 mW,,1.02 mW,,0.64 mW,,0.44 mW,,0.23 mW,,0.13 mW
0.400200000000015,-4.62651934674196E-4,0.400200000000015,-3.12974111848625E-4,0.933799999999909,-2.06652482290533E-4,0.933799999999909,-1.11310807492243E-4,1.46739999999999,-8.74393545123913E-5,2.13439999999995,-6.3997691942719E-5
0.466900000000144,-4.52346362805148E-4,0.466899999999955,-3.0083330955248E-4,1.00049999999985,-1.90711925979083E-4,1.00049999999985,-9.62380864373048E-5,1.53409999999993,-1.11471682089242E-4,2.20109999999989,-6.1413759216878E-5
0.533600000000083,-3.96525873664726E-4,0.533599999999894,-2.74627428546526E-4,1.06719999999998,-1.98216266728744E-4,1.06719999999998,-8.7738070794153E-5,1.60079999999987,-1.28689621736713E-4,2.26779999999983,-4.10915635055484E-5
0.600300000000023,-3.84369568347885E-4,0.600299999999833,-2.39858430844239E-4,1.13389999999992,-1.88343295634122E-4,1.13389999999992,-8.80700065712322E-5,1.6675,-1.15323199966949E-4,2.33449999999996,-3.10987874779091E-5
0.667000000000152,-3.91335932713104E-4,0.666999999999962,-1.9194349086421E-4,1.20059999999986,-1.72244303455617E-4,1.20059999999986,-1.1558410869092E-4,1.73419999999994,-1.24580304043728E-4,2.4011999999999,-3.77407747800805E-5
0.733700000000091,-3.84042127678631E-4,0.733699999999901,-1.84824324313476E-4,1.26729999999998,-1.70668685866354E-4,1.26729999999998,-1.00283946326738E-4,1.80089999999988,-1.39248061475312E-4,2.46789999999984,-3.65395791441504E-5
0.80040000000003,-2.59369895099068E-4,0.800399999999841,-1.44458637489311E-4,1.33399999999992,-1.89572173439644E-4,1.33399999999992,-6.58325504017993E-5,1.86760000000001,-9.42289378623037E-5,2.53459999999997,-3.973299358844E-5
0.867100000000159,-2.23353788527149E-4,0.86709999999997,-9.95176798084241E-5,1.40069999999986,-1.74232710519974E-4,1.40069999999986,-4.30188870744302E-5,1.93429999999995,-7.14975807620601E-5,2.60129999999991,-4.4825384272051E-5
0.933800000000099,-3.06902492712647E-4,0.933799999999909,-6.66156633129996E-5,1.46739999999999,-1.31761006551239E-4,1.46739999999999,-2.39290471759776E-5,2.00099999999989,-7.29315216562602E-5,2.66799999999985,-2.87202045619485E-5
1.00050000000004,-1.98307600372179E-4,1.00049999999985,-7.52091880495753E-6,1.53409999999993,-1.10698150055016E-4,1.53409999999993,-2.1225120178227E-5,2.06770000000002,-7.58827663543346E-5,2.73469999999998,-1.35830666838218E-5
1.06720000000017,-1.15775731169123E-4,1.06719999999998,5.44170531118964E-5,1.60079999999987,-1.10982269924996E-4,1.60079999999987,-2.49173096751002E-5,2.13439999999995,-4.28150927825392E-5,2.80139999999992,4.76929940988919E-6
1.13390000000011,-1.07508790998408E-4,1.13389999999992,9.5417062272561E-5,1.6675,-1.04729538708535E-4,1.6675,-1.32668998238153E-5,2.20109999999989,-3.45150110770165E-5,2.86809999999986,1.47605545915138E-5
1.20060000000005,-3.13212994959271E-5,1.20059999999986,1.11118968621616E-4,1.73419999999994,-5.23320599507098E-5,1.73419999999994,4.29030931605288E-6,2.26779999999983,-5.69917955220609E-5,2.93479999999999,2.35063506433516E-5
1.26729999999998,6.25592507435244E-5,1.26729999999998,1.40905556892787E-4,1.80089999999988,-1.24154871955752E-5,1.80089999999988,2.33037930788318E-5,2.33449999999996,-6.03736967503508E-5,3.00149999999992,4.09108591678648E-5
1.33400000000011,1.65524807550871E-4,1.33399999999992,1.77841509087454E-4,1.86760000000001,-1.27676423078685E-5,1.86760000000001,2.97006801016511E-5,2.4011999999999,-3.62742002223804E-5,3.06819999999986,3.89415315324354E-5
1.40070000000005,2.70538676091302E-4,1.40069999999986,2.0641646367447E-4,1.93429999999995,-4.70108618485911E-5,1.93429999999995,3.20019565675172E-5,2.46789999999984,-3.41756610609436E-5,3.13489999999999,3.80094931536733E-5
1.46739999999999,3.26140439614189E-4,1.46739999999999,2.0901477950708E-4,2.00099999999989,-2.07994810004872E-5,2.00099999999989,5.28161161256514E-5,2.53459999999997,-5.31135378956734E-5,3.20159999999993,2.60345241454427E-5
1.53410000000012,3.18937893496734E-4,1.53409999999993,2.41484834590712E-4,2.06770000000002,1.51151869957461E-5,2.06770000000002,8.21994133309436E-5,2.60129999999991,-6.0981164886796E-5,3.26829999999987,2.14122129592032E-5
1.60080000000006,3.41268015843855E-4,1.60079999999987,2.42017669137779E-4,2.13439999999995,3.75382321254694E-5,2.13439999999995,1.27442764656663E-4,2.66799999999985,-4.75648098401543E-5,3.335,1.80383707165268E-5
1.6675,3.7686670491751E-4,1.6675,2.58520730588319E-4,2.20109999999989,6.04679210588562E-5,2.20109999999989,1.3691466973124E-4,2.73469999999998,-6.49776215858827E-6,3.40169999999994,1.54085669193723E-5
1.73420000000013,4.49872876124937E-4,1.73419999999994,2.87612650912854E-4,2.26779999999983,7.63971042543756E-5,2.26779999999983,1.40974891002946E-4,2.80139999999992,-1.25480324046658E-5,3.46839999999988,9.54370423277053E-6
1.80090000000007,5.59895309398236E-4,1.80089999999988,3.11296679149849E-4,2.33449999999996,1.03992297199204E-4,2.33449999999996,1.64552278883543E-4,2.86809999999986,-3.34734779111855E-5,3.53510000000001,1.28779098047593E-5
