wavelength,time,rotation,transmission
15.0,-9.640529335277915,0.000027393875285779498,24.867910020242007
15.0,-9.306965240079773,-5.77446491200776e-6,28.471954950711865
15.0,-8.973401144881633,-6.805580745866681e-6,-11.893348270550526
15.0,-8.639837049683303,3.5059379967188793e-6,-3.9644494235168417
15.0,-8.306272954485353,-0.00001831976762462392,-37.482067276886504
15.0,-7.972708859287212,-0.000011789247208852007,-43.24853916563828
15.0,-7.639144764088882,2.8182871714819735e-6,-28.83235944375885
15.0,-7.305580668890742,0.00004767272695433571,-4.324853916563828
15.0,-6.972016573692601,0.00006331166245573899,9.730921312268611
15.0,-6.638452478494651,0.000010723748833731249,24.507505527195022
15.0,-6.304888383296321,-0.000011273509089924322,2.162426958281914
15.0,-5.97132428809818,-6.117929920629756e-6,-47.5733930822021
15.0,-5.63776019290004,-0.000014538769297810268,-26.669932485476934
15.0,-5.304196097701899,-0.000023303434087609242,-2.883235944375885
15.0,-4.970632002503759,-7.907233322363847e-7,2.162426958281914
15.0,-4.637067907305619,0.00001175486466759015,12.614157256644496
15.0,-4.303503812107478,-0.000019866261173414055,-0.36040449304698563
15.0,-3.969939716909528,-0.00003859861929318011,-61.62916831103454
15.0,-3.636375621711008,-0.0000803597115744571,-19.461842624537223
15.0,-3.3028115265130573,-0.000045988342836501715,-3.2436404374228704
15.0,-2.969247431314917,-0.00002845901325690379,-26.669932485476934
15.0,-2.6356833361165872,-0.000034645708260057256,1.4416179721879425
15.0,-2.3021192409186364,0.00005849926300785603,51.89824699876593
15.0,-1.9685551457203063,0.00008771472821292007,22.705483061960095
15.0,-1.6349910505223557,2.990199877791176e-6,78.20777499119588
15.0,-1.3014269553240256,0.000059358826539402164,132.9892579343377
15.0,-0.9678628601258853,0.00005781225787382598,240.7502013553864
15.0,-0.6342987649279346,0.00004646969841416757,401.130200761295
15.0,-0.3007346697296046,0.000012614353082350246,469.96745893326926
15.0,0.03282942546853576,-0.00008465608761620197,586.0177056943986
15.0,0.36639352066667613,-0.00010837175179495692,675.3980199700511
15.0,0.6999576158648165,-0.0002472331740884592,766.5803567109384
15.0,1.0335217110627672,-0.0003245650596078952,888.3970753608196
15.0,1.3670858062612867,-0.0003536100176822361,882.6306034720678
15.0,1.7006499014592376,-0.00041203871358758614,978.8586031156129
15.0,2.034213996657378,-0.00042441166807311064,1027.152805183909
15.0,2.367778091855708,-0.00045757964786690146,1034.3608950448488
15.0,2.7013421870536587,-0.00047734420303251576,1117.6143329387023
15.0,3.0349062822519888,-0.00048524814795601026,1109.6854340916686
15.0,3.368470377449939,-0.0005134350592375599,1128.066063237065
15.0,3.7020344726482692,-0.0005916283103085243,1135.2741530980047
15.0,4.035598567846409,-0.0005118853220528016,1098.873299300259
