Roughness;Roughness;
x;y;
[m];[m];
1.8371652e-05;-1.2884176e-09;
1.8410741e-05;-1.2680751e-09;
1.8449829e-05;-1.1282967e-09;
1.8488918e-05;-8.2495756e-10;
1.8528007e-05;-7.333146e-10;
1.8567095e-05;-5.204175e-10;
1.8606184e-05;-2.1331863e-10;
1.8645272e-05;-1.2823616e-10;
1.8684361e-05;-8.3942238e-11;
1.872345e-05;1.3990756e-10;
1.8762538e-05;7.4494653e-11;
1.8801627e-05;1.4604417e-10;
1.8840716e-05;7.128696e-11;
1.8879804e-05;5.5345247e-11;
1.8918893e-05;3.5520259e-11;
1.8957981e-05;8.214853e-11;
1.899707e-05;4.3681562e-11;
1.9036159e-05;3.5207636e-12;
1.9075247e-05;9.4817133e-11;
1.9114336e-05;1.3422919e-10;
1.9153425e-05;2.0240262e-10;
1.9192513e-05;3.2271645e-10;
1.9231602e-05;2.7706444e-10;
1.927069e-05;3.2950161e-10;
1.9309779e-05;4.4134571e-10;
1.9348868e-05;4.0084697e-10;
1.9387956e-05;4.0461334e-10;
1.9427045e-05;4.4632234e-10;
1.9466133e-05;5.1209246e-10;
1.9505222e-05;4.3857825e-10;
1.9544311e-05;4.7104495e-10;
1.9583399e-05;3.7973217e-10;
1.9622488e-05;4.0122848e-10;
1.9661577e-05;3.2595318e-10;
1.9700665e-05;4.2412919e-10;
1.9739754e-05;1.6257222e-10;
1.9778842e-05;2.1765086e-10;
1.9817931e-05;1.2577429e-10;
1.985702e-05;7.4861205e-11;
1.9896108e-05;2.7655232e-12;
1.9935197e-05;-1.0340014e-10;
1.9974286e-05;-1.5274624e-11;
