2theta,intensity,temperature,number,best_fit
1.405,0.005253798900743614,25.0,16,0.006226334834728818
1.415,0.005253798900743614,25.0,16,0.006168496659076617
1.425,0.005496281926931781,25.0,16,0.006098783840420633
1.435,0.0046880051729712244,25.0,16,0.006007929953522862
1.445,0.0063045586808923365,25.0,16,0.0058896389890109035
1.455,0.004607177497575169,25.0,16,0.005740887530315416
1.465,0.005011315874555448,25.0,16,0.0055619356178478975
1.475,0.0054154542515357255,25.0,16,0.0053560665829762094
1.485,0.00606207565470417,25.0,16,0.005129096465394427
1.495,0.00606207565470417,25.0,16,0.00488870916859785
1.5050000000000001,0.004607177497575169,25.0,16,0.004643683461460164
1.5150000000000001,0.0054154542515357255,25.0,16,0.004403081960721643
1.5250000000000001,0.004849660523763336,25.0,16,0.004175470439130551
1.5350000000000001,0.0046880051729712244,25.0,16,0.003968228724334914
1.5450000000000002,0.0029097963142580016,25.0,16,0.0037870029769463357
1.5550000000000002,0.003637245392822502,25.0,16,0.0036353344439049302
1.5650000000000002,0.003960556094406725,25.0,16,0.003514483246488873
1.5750000000000002,0.003556417717426447,25.0,16,0.003423448825572848
1.5850000000000002,0.0028289686388619463,25.0,16,0.0033591727248011966
1.5950000000000002,0.0034755900420303906,25.0,16,0.0033168956730381116
1.6050000000000002,0.0033139346912382794,25.0,16,0.0032906303940302916
1.615,0.0027481409634658904,25.0,16,0.0032737048549005524
1.625,0.0031522793404461682,25.0,16,0.0032593280342457596
1.635,0.003556417717426447,25.0,16,0.0032411316571275424
1.645,0.0029906239896540575,25.0,16,0.0032136463026761018
1.655,0.0028289686388619463,25.0,16,0.0031726781812825935
1.665,0.0026673132880698346,25.0,16,0.003115562867822924
1.675,0.0027481409634658904,25.0,16,0.0030412834377238768
1.685,0.0029906239896540575,25.0,16,0.0029504518432833513
1.695,0.002424830261881668,25.0,16,0.002845163104676387
1.705,0.0028289686388619463,25.0,16,0.0027287412044072006
1.715,0.0023440025864856122,25.0,16,0.0026054028553601444
1.725,0.002263174911089557,25.0,16,0.002479870139943674
1.735,0.002424830261881668,25.0,16,0.002356965175751698
1.745,0.0023440025864856122,25.0,16,0.0022412194452655805
1.7550000000000001,0.0021823472356935015,25.0,16,0.0021365274258719194
1.7650000000000001,0.0021015195602974456,25.0,16,0.002045869040391359
1.7750000000000001,0.0021823472356935015,25.0,16,0.0019711187272896504
1.7850000000000001,0.002505657937277724,25.0,16,0.0019129512105815134
1.7950000000000002,0.0019398642095053344,25.0,16,0.001870845984832379
1.8050000000000002,0.001616553507921112,25.0,16,0.0018431847657167865
1.8150000000000002,0.0013740704817329452,25.0,16,0.0018274292776962922
1.8250000000000002,0.001616553507921112,25.0,16,0.0018203612410711302
1.8350000000000002,0.00202069188490139,25.0,16,0.0018183626284325753
1.8450000000000002,0.0015357258325250564,25.0,16,0.001817712377157195
1.8550000000000002,0.0018590365341092786,25.0,16,0.0018148758009022695
1.8650000000000002,0.0021015195602974456,25.0,16,0.00180676481768124
1.875,0.0015357258325250564,25.0,16,0.0017909505517667596
1.885,0.0010507597801487228,25.0,16,0.0017658145154543419
1.895,0.0027481409634658904,25.0,16,0.0017306300105563034
1.905,0.0014548981571290008,25.0,16,0.0016855711527566598
1.915,0.0021823472356935015,25.0,16,0.0016316525631083036
1.925,0.002263174911089557,25.0,16,0.0015706078749445054
1.935,0.002263174911089557,25.0,16,0.0015047194201178015
1.945,0.0008891044293566117,25.0,16,0.0014366145195818007
1.955,0.0010507597801487228,25.0,16,0.0013690455428777182
1.965,0.0021015195602974456,25.0,16,0.0013046712579700601
1.975,0.0012932428063368896,25.0,16,0.0012458560111313626
1.985,0.001616553507921112,25.0,16,0.00119450109736531
1.995,0.0008891044293566117,25.0,16,0.0011519195288019314
2.005,0.0014548981571290008,25.0,16,0.0011187615674970186
2.015,0.0008891044293566117,25.0,16,0.0010949941841076304
2.025,0.0009699321047526672,25.0,16,0.0010799333707988508
2.035,0.0014548981571290008,25.0,16,0.0010723242968575359
2.045,0.0007274490785645004,25.0,16,0.0010704609318165448
2.055,0.001212415130940834,25.0,16,0.0010723341980855654
2.065,0.0012932428063368896,25.0,16,0.0010757961052401954
2.075,0.0008891044293566117,25.0,16,0.0010787267330498486
2.085,0.0007274490785645004,25.0,16,0.0010791913606117624
2.095,0.0019398642095053344,25.0,16,0.0010755763993964237
2.105,0.0015357258325250564,25.0,16,0.0010666949285045423
2.115,0.0008891044293566117,25.0,16,0.0010518553510777372
2.125,0.001212415130940834,25.0,16,0.0010308897595967179
2.135,0.000808276753960556,25.0,16,0.0010041417695600512
2.145,0.0006466214031684448,25.0,16,0.0009724166159600054
2.155,0.0011315874555447784,25.0,16,0.0009368989876952155
2.165,0.0003233107015842224,25.0,16,0.0008990462211007533
2.175,0.0009699321047526672,25.0,16,0.00086046595263175
2.185,0.0010507597801487228,25.0,16,0.0008227880650708933
2.195,0.0011315874555447784,25.0,16,0.0007875407322677517
2.205,0.0010507597801487228,25.0,16,0.0007560396121095176
2.2150000000000003,0.0015357258325250564,25.0,16,0.0007292978456030766
2.225,0.0009699321047526672,25.0,16,0.0007079626239581583
2.2350000000000003,0.0007274490785645004,25.0,16,0.0006922818490616972
2.245,0.0006466214031684448,25.0,16,0.0006821020172319836
2.255,0.0009699321047526672,25.0,16,0.0006768960866977235
2.265,0.0006466214031684448,25.0,16,0.0006758179204877301
2.275,0.0005657937277723892,25.0,16,0.000677778079926157
2.285,0.0004849660523763336,25.0,16,0.0006815343979668838
2.295,0.0007274490785645004,25.0,16,0.0006857899638472737
2.305,0.0007274490785645004,25.0,16,0.0006892909342821082
2.315,0.001212415130940834,25.0,16,0.0006909169402946066
2.325,0.0010507597801487228,25.0,16,0.0006897577299026577
2.335,0.0007274490785645004,25.0,16,0.0006851709868566575
2.345,0.000404138376980278,25.0,16,0.0006768178788886673
2.355,0.0007274490785645004,25.0,16,0.0006646746825534431
2.365,0.0006466214031684448,25.0,16,0.000649020665979248
2.375,0.0012932428063368896,25.0,16,0.0006304041496014112
2.3850000000000002,0.0007274490785645004,25.0,16,0.0006095901854120738
2.395,0.0005657937277723892,25.0,16,0.0005874944961196014
2.4050000000000002,0.0005657937277723892,25.0,16,0.0005651091233743102
2.415,0.000404138376980278,25.0,16,0.0005434256072343333
2.4250000000000003,0.0004849660523763336,25.0,16,0.0005233614491332247
2.435,0.0001616553507921112,25.0,16,0.0005056951221972272
2.4450000000000003,0.000404138376980278,25.0,16,0.0004910140397426782
2.455,0.0003233107015842224,25.0,16,0.000479678753370284
2.4650000000000003,0.0007274490785645004,25.0,16,0.00047180532206119764
2.475,0.0000808276753960556,25.0,16,0.0004672663787067139
2.4850000000000003,0.000404138376980278,25.0,16,0.0004657100278786777
2.495,0.0006466214031684448,25.0,16,0.0004665944393910023
2.5050000000000003,0.000808276753960556,25.0,16,0.00046923494388078014
2.515,0.0005657937277723892,25.0,16,0.00047285965750942945
2.525,0.0008891044293566117,25.0,16,0.00047666920774307674
2.535,0.0006466214031684448,25.0,16,0.0004798960201141459
2.545,0.0007274490785645004,25.0,16,0.00048185885007326806
2.555,0.0007274490785645004,25.0,16,0.00048200877346962697
2.565,0.0005657937277723892,25.0,16,0.0004799636319706201
2.575,0.000404138376980278,25.0,16,0.00047552889787005935
2.585,0.000404138376980278,25.0,16,0.00046870399783021554
2.595,0.0001616553507921112,25.0,16,0.0004596742344619481
2.605,0.0007274490785645004,25.0,16,0.0004487894874443724
2.615,0.000404138376980278,25.0,16,0.0004365317888983263
2.625,0.0004849660523763336,25.0,16,0.00042347459026810075
2.6350000000000002,0.0004849660523763336,25.0,16,0.000410237025694935
2.645,0.0005657937277723892,25.0,16,0.00039743670429047634
2.6550000000000002,0.000404138376980278,25.0,16,0.00038564452523032243
2.665,0.0004849660523763336,25.0,16,0.0003753447190466371
2.6750000000000003,0.000404138376980278,25.0,16,0.0003669028074336021
2.685,0.0002424830261881668,25.0,16,0.00036054348848751965
2.6950000000000003,0.0002424830261881668,25.0,16,0.00035633965151117694
2.705,0.000404138376980278,25.0,16,0.0003542128684084635
2.7150000000000003,0.0001616553507921112,25.0,16,0.00035394486169789655
2.725,0.000404138376980278,25.0,16,0.0003551986732940608
2.7350000000000003,0.0003233107015842224,25.0,16,0.0003575476067512955
2.745,0.0002424830261881668,25.0,16,0.0003605095306864675
2.7550000000000003,0.0003233107015842224,25.0,16,0.0003635838408124518
2.765,0.0003233107015842224,25.0,16,0.0003662882953414509
2.775,0.000404138376980278,25.0,16,0.0003681930608031132
2.785,0.0002424830261881668,25.0,16,0.000368949615202447
2.795,0.0005657937277723892,25.0,16,0.0003683126227340929
2.805,0.0003233107015842224,25.0,16,0.0003661534787053521
2.815,0.000404138376980278,25.0,16,0.0003624648778819726
2.825,0.000808276753960556,25.0,16,0.0003573564340609038
2.835,0.0005657937277723892,25.0,16,0.0003510420238445951
2.845,0.000404138376980278,25.0,16,0.0003438200980609927
2.855,0.0002424830261881668,25.0,16,0.0003360486620000112
2.865,0.0003233107015842224,25.0,16,0.000328116942243278
2.875,0.000404138376980278,25.0,16,0.00032041591627204093
2.8850000000000002,0.0004849660523763336,25.0,16,0.00031330987623621835
2.895,0.0002424830261881668,25.0,16,0.00030711103718214733
2.9050000000000002,0.0001616553507921112,25.0,16,0.0003020589005548167
2.915,0.000404138376980278,25.0,16,0.0002983056730391457
2.9250000000000003,0.0004849660523763336,25.0,16,0.000295908552828735
2.935,0.0001616553507921112,25.0,16,0.0002948291684475723
2.9450000000000003,0.0005657937277723892,25.0,16,0.0002949399288064637
2.955,0.0002424830261881668,25.0,16,0.00029603655513067836
2.9650000000000003,0.0005657937277723892,25.0,16,0.00029785564933217156
2.975,0.0001616553507921112,25.0,16,0.00030009583636260255
2.9850000000000003,0.0003233107015842224,25.0,16,0.0003024408188925114
2.995,0.0002424830261881668,25.0,16,0.0003045826108961234
3.0050000000000003,0.000404138376980278,25.0,16,0.00030624327240869786
3.015,0.0011315874555447784,25.0,16,0.00030719364173416005
3.025,0.0,25.0,16,0.0003072678364617995
3.035,0.0000808276753960556,25.0,16,0.00030637264699913424
3.045,0.000404138376980278,25.0,16,0.0003044913475675839
3.055,0.0002424830261881668,25.0,16,0.0003016818690084066
3.065,0.0,25.0,16,0.00029806968452033287
3.075,0.0003233107015842224,25.0,16,0.00029383612495121437
3.085,0.0001616553507921112,25.0,16,0.0002892031399529207
3.095,0.0001616553507921112,25.0,16,0.0002844157363284666
3.105,0.000404138376980278,25.0,16,0.00027972344321011694
3.115,0.0000808276753960556,25.0,16,0.0002753621706598284
3.125,0.0005657937277723892,25.0,16,0.00027153774666849404
3.1350000000000002,0.0005657937277723892,25.0,16,0.0002684122470797296
3.145,0.0004849660523763336,25.0,16,0.0002660939893827793
3.1550000000000002,0.0,25.0,16,0.0002646317649274705
3.165,0.0001616553507921112,25.0,16,0.0002640135582103617
3.1750000000000003,0.0001616553507921112,25.0,16,0.0002641696709573267
3.185,0.000404138376980278,25.0,16,0.00026497985666679174
3.1950000000000003,0.0000808276753960556,25.0,16,0.000266283799668371
3.205,0.0001616553507921112,25.0,16,0.00026789405943146644
3.2150000000000003,0.0007274490785645004,25.0,16,0.000269610458787494
3.225,0.0001616553507921112,25.0,16,0.00027123483125591336
3.2350000000000003,0.0000808276753960556,25.0,16,0.0002725850592248413
3.245,0.0005657937277723892,25.0,16,0.0002735074269905246
3.2550000000000003,0.0,25.0,16,0.0002738864710307234
3.265,0.0002424830261881668,25.0,16,0.00027365172045882105
3.2750000000000004,0.0001616553507921112,25.0,16,0.00027278096628910003
3.285,0.0002424830261881668,25.0,16,0.0002712999600233785
3.295,0.0001616553507921112,25.0,16,0.00026927870082322765
3.305,0.0002424830261881668,25.0,16,0.00026682470782575854
3.315,0.0002424830261881668,25.0,16,0.00026407387391273865
3.325,0.0,25.0,16,0.0002611796466797479
3.335,0.0000808276753960556,25.0,16,0.0002583013727879181
3.345,0.0001616553507921112,25.0,16,0.0002555926691745013
3.355,0.0002424830261881668,25.0,16,0.00025319064926906704
3.365,0.0001616553507921112,25.0,16,0.0002512067393708402
3.375,0.000404138376980278,25.0,16,0.0002497196785649396
3.3850000000000002,0.0002424830261881668,25.0,16,0.00024877111699619475
3.395,0.0001616553507921112,25.0,16,0.00024836402613592176
3.4050000000000002,0.0003233107015842224,25.0,16,0.00024846392608554124
3.415,0.0003233107015842224,25.0,16,0.00024900273411020916
3.4250000000000003,0.0003233107015842224,25.0,16,0.0002498848594907212
3.435,0.0003233107015842224,25.0,16,0.000250995024329988
3.4450000000000003,0.0001616553507921112,25.0,16,0.0002522071871951738
3.455,0.0002424830261881668,25.0,16,0.00025339389206645427
3.4650000000000003,0.0003233107015842224,25.0,16,0.00025443536098346405
3.475,0.0000808276753960556,25.0,16,0.00025522769335574274
3.4850000000000003,0.0001616553507921112,25.0,16,0.0002556896230631691
3.495,0.0000808276753960556,25.0,16,0.00025576740824483996
3.5050000000000003,0.0000808276753960556,25.0,16,0.0002554375778695346
3.515,0.0001616553507921112,25.0,16,0.000254707422200286
3.5250000000000004,0.0001616553507921112,25.0,16,0.0002536132789842922
3.535,0.0001616553507921112,25.0,16,0.0002522168218468658
3.545,0.0002424830261881668,25.0,16,0.0002505996913494747
3.555,0.0001616553507921112,25.0,16,0.00024885691377415144
3.565,0.000404138376980278,25.0,16,0.0002470896216332331
3.575,0.000404138376980278,25.0,16,0.00024539761966522355
3.585,0.0001616553507921112,25.0,16,0.00024387233007367907
3.595,0.0002424830261881668,25.0,16,0.00024259060325132053
3.605,0.000404138376980278,25.0,16,0.00024160980003632776
3.615,0.0001616553507921112,25.0,16,0.00024096444563420375
3.625,0.0002424830261881668,25.0,16,0.0002406646322235259
3.6350000000000002,0.0002424830261881668,25.0,16,0.0002406962163538352
3.645,0.0004849660523763336,25.0,16,0.00024102272813201974
3.6550000000000002,0.0002424830261881668,25.0,16,0.00024158879097180307
3.665,0.0003233107015842224,25.0,16,0.00024232475131353957
3.6750000000000003,0.0001616553507921112,25.0,16,0.00024315214352433706
3.685,0.0001616553507921112,25.0,16,0.00024398957044466835
3.6950000000000003,0.000404138376980278,25.0,16,0.00024475856678391806
3.705,0.0003233107015842224,25.0,16,0.00024538903049853267
3.7150000000000003,0.0006466214031684448,25.0,16,0.00024582385392690834
3.725,0.0002424830261881668,25.0,16,0.000246022457381261
3.7350000000000003,0.0002424830261881668,25.0,16,0.00024596301713671574
3.745,0.0003233107015842224,25.0,16,0.0002456432802761481
3.7550000000000003,0.000404138376980278,25.0,16,0.0002450799630862877
3.765,0.0000808276753960556,25.0,16,0.0002443068301290295
3.7750000000000004,0.0003233107015842224,25.0,16,0.00024337164076806113
3.785,0.0002424830261881668,25.0,16,0.00024233222288608215
3.795,0.0001616553507921112,25.0,16,0.00024125198526677707
3.805,0.000404138376980278,25.0,16,0.00024019520780140077
3.815,0.0005657937277723892,25.0,16,0.00023922245128801762
3.825,0.0000808276753960556,25.0,16,0.00023838640691338064
3.835,0.000404138376980278,25.0,16,0.0002377284620216175
3.845,0.000404138376980278,25.0,16,0.00023727619740601623
3.855,0.000404138376980278,25.0,16,0.0002370419571480759
3.865,0.0001616553507921112,25.0,16,0.00023702255072186035
3.875,0.0002424830261881668,25.0,16,0.0002372000647094134
3.8850000000000002,0.0002424830261881668,25.0,16,0.00023754368390257089
3.895,0.0002424830261881668,25.0,16,0.00023801235409681457
3.9050000000000002,0.0005657937277723892,25.0,16,0.0002385580658914323
3.915,0.0001616553507921112,25.0,16,0.0002391295034792182
3.9250000000000003,0.000404138376980278,25.0,16,0.00023967578654710437
3.935,0.0002424830261881668,25.0,16,0.00024015003737769275
3.9450000000000003,0.0001616553507921112,25.0,16,0.00024051252798598552
3.955,0.0000808276753960556,25.0,16,0.0002407332013050934
3.9650000000000003,0.000404138376980278,25.0,16,0.00024079341263907528
3.975,0.0002424830261881668,25.0,16,0.00024068679863341615
3.9850000000000003,0.0002424830261881668,25.0,16,0.0002404192466190642
3.995,0.0002424830261881668,25.0,16,0.0002400127273052504
0.205,0.22942657998008553,750.0,15,0.383255136966177
0.215,0.23598664558074153,750.0,15,0.4011860639375692
0.22499999999999998,0.2303637322087507,750.0,15,0.41903665363441084
0.235,0.24635389211034972,750.0,15,0.4368008290247158
0.245,0.2930943595150237,750.0,15,0.4544755166290836
0.255,0.302758741873133,750.0,15,0.4720573466490836
0.265,0.3394833948339484,750.0,15,0.48954262145182276
0.275,0.378492356352135,750.0,15,0.5069272797267801
0.285,0.4109998242839572,750.0,15,0.5242068552366527
0.295,0.4358929303578751,750.0,15,0.5413764291929777
0.305,0.5099279564224214,750.0,15,0.5584305750773504
0.315,0.5716628594857378,750.0,15,0.5753632944661233
0.32499999999999996,0.5966145375739472,750.0,15,0.5921679420849619
0.33499999999999996,0.6285948573771453,750.0,15,0.6088371378989762
0.345,0.6909154805833773,750.0,15,0.6253626635064754
0.355,0.69958413869853,750.0,15,0.6417353394120587
0.365,0.7022784513559422,750.0,15,0.6579448788560999
0.375,0.7404088326597552,750.0,15,0.6739797127013653
0.385,0.7595033093188076,750.0,15,0.6898267783236884
0.395,0.7730920166344522,750.0,15,0.7054712633814479
0.405,0.788555028407427,750.0,15,0.720896292546231
0.415,0.8005622913371991,750.0,15,0.7360825414725255
0.425,0.8335969073976455,750.0,15,0.7510077570381818
0.435,0.8552099806712353,750.0,15,0.7656461555598105
0.44499999999999995,0.8601886018860189,750.0,15,0.7799676603083477
0.45499999999999996,0.8608914660575178,750.0,15,0.7939369247241367
0.46499999999999997,0.9101505300767295,750.0,15,0.807512065907485
0.475,0.9126105546769754,750.0,15,0.820643000467876
0.485,0.9248521056639138,750.0,15,0.8332692254605594
0.495,0.936039360393604,750.0,15,0.8453168104993001
0.505,0.9625139108533943,750.0,15,0.8566942451665479
0.515,0.9592338780530664,750.0,15,0.8672865863401222
0.525,0.9798512270836995,750.0,15,0.8769470135035317
0.535,1.0,750.0,15,0.8854843121770629
0.545,0.9964271071282143,750.0,15,0.8926437368458608
0.555,0.9956656709424239,750.0,15,0.8980766713176166
0.565,0.9864112926843555,750.0,15,0.9012904276915124
0.575,0.9422479939085107,750.0,15,0.901560849388923
0.585,0.9349264921220642,750.0,15,0.8977706717974714
0.595,0.9190534762490482,750.0,15,0.8880890091751152
0.605,0.8721372928014995,750.0,15,0.8692926148698905
0.615,0.8203010601534587,750.0,15,0.8353652178734954
0.625,0.7310958823873954,750.0,15,0.7761886705957531
0.635,0.6167633104902478,750.0,15,0.6857097896958158
0.645,0.518186610437533,750.0,15,0.5771365196542486
0.655,0.4461430328589001,750.0,15,0.46890395917900113
0.665,0.37983951268084115,750.0,15,0.3760416062941542
0.675,0.31470743278861363,750.0,15,0.3066167714074261
0.6849999999999999,0.28483570549991216,750.0,15,0.25971554779509676
0.695,0.2615826158261583,750.0,15,0.22902584204619744
0.705,0.23633807766649098,750.0,15,0.2076253676183926
0.715,0.21531072453581682,750.0,15,0.19047563380974955
0.725,0.20541205412054123,750.0,15,0.17477337510211224
0.735,0.18830902594740234,750.0,15,0.1594023405602338
0.745,0.17044456158847304,750.0,15,0.14426381355376458
0.755,0.15152580097229545,750.0,15,0.12974749240790168
0.765,0.1337784806419493,750.0,15,0.11637369869392165
0.775,0.11960405318338899,750.0,15,0.10457787578049317
0.7849999999999999,0.09845955602413167,750.0,15,0.09460430891074392
0.7949999999999999,0.09184091840918411,750.0,15,0.08648037735490394
0.8049999999999999,0.08170795993674224,750.0,15,0.08004497855117491
0.815,0.0752064663503778,750.0,15,0.07500657878534722
0.825,0.07093070930709308,750.0,15,0.07101003785231805
0.835,0.06665495226380835,750.0,15,0.06769715824519387
0.845,0.06747496046389036,750.0,15,0.06475244619326419
0.855,0.06495636384935279,750.0,15,0.06193125717173405
0.865,0.060387746734610205,750.0,15,0.05907143474524211
0.875,0.05816201019153049,750.0,15,0.05609166013391555
0.885,0.058044866162947344,750.0,15,0.05298043691053613
0.895,0.05728342997715692,750.0,15,0.049779496526676334
0.905,0.049961928190710485,750.0,15,0.046564875963911116
0.9149999999999999,0.04955192409066948,750.0,15,0.043428259782965474
0.9249999999999999,0.04738475956188134,750.0,15,0.040460515882889354
0.9349999999999999,0.03836466936097933,750.0,15,0.03773872185436606
0.945,0.03502606454635975,750.0,15,0.03531738277066045
0.955,0.03426462836056932,750.0,15,0.0332239926691196
0.965,0.027880278802788032,750.0,15,0.03145861652729329
0.975,0.028758859017161603,750.0,15,0.02999680036751077
0.985,0.024014525859544313,750.0,15,0.028794881307572143
0.995,0.02553739823112517,750.0,15,0.027796676785832853
1.0050000000000001,0.025068822116792597,750.0,15,0.026940571472521598
1.0150000000000001,0.021437357230715166,750.0,15,0.026166162431682426
1.0250000000000001,0.02512739413108417,750.0,15,0.025419829293657284
