time,background,brillouin,first_harmonic,third_harmonic,temperature
-0.06400000000000022,-0.0,0.0,0.0,-0.0,60
-0.06360000000000023,-0.0,0.0,0.0,-0.0,60
-0.06320000000000023,-0.0,0.0,0.0,-0.0,60
-0.06280000000000023,-0.0,0.0,-0.0,-0.0,60
-0.06240000000000023,-0.0,0.0,-0.0,0.0,60
-0.062000000000000235,-0.0,0.0,-0.0,0.0,60
-0.06160000000000024,-0.0,0.0,-0.0,0.0,60
-0.06120000000000024,-0.0,0.0,-0.0,0.0,60
-0.06080000000000024,-0.0,0.0,-0.0,0.0,60
-0.060400000000000245,-0.0,0.0,-0.0,-0.0,60
-0.06000000000000025,-0.0,0.0,-0.0,-0.0,60
-0.05960000000000025,-0.0,0.0,-0.0,-0.0,60
-0.05920000000000025,-0.0,0.0,-0.0,-0.0,60
-0.058800000000000255,-0.0,0.0,-0.0,-0.0,60
-0.05840000000000026,-0.0,0.0,-0.0,-0.0,60
-0.05800000000000026,-0.0,0.0,-0.0,0.0,60
-0.05760000000000026,-0.0,0.0,-0.0,0.0,60
-0.057200000000000265,-0.0,0.0,-0.0,0.0,60
-0.05680000000000027,-0.0,0.0,-0.0,0.0,60
-0.05640000000000027,-0.0,0.0,0.0,0.0,60
-0.05600000000000027,-0.0,0.0,0.0,-0.0,60
-0.055600000000000274,-0.0,0.0,0.0,-0.0,60
-0.05520000000000028,-0.0,0.0,0.0,-0.0,60
-0.05480000000000028,-0.0,0.0,0.0,-0.0,60
-0.05440000000000028,-0.0,0.0,0.0,-0.0,60
-0.054000000000000284,-0.0,-0.0,0.0,0.0,60
-0.053600000000000286,-0.0,-0.0,0.0,0.0,60
-0.05320000000000029,-0.0,-0.0,0.0,0.0,60
-0.05280000000000029,-0.0,-0.0,0.0,0.0,60
-0.052400000000000294,-0.0,-0.0,0.0,0.0,60
-0.052000000000000296,-0.0,-0.0,0.0,0.0,60
-0.0516000000000003,-0.0,-0.0,0.0,-0.0,60
-0.0512000000000003,-0.0,-0.0,0.0,-0.0,60
-0.0508000000000003,-0.0,-0.0,0.0,-0.0,60
-0.050400000000000306,-0.0,-0.0,0.0,-0.0,60
-0.05000000000000031,-0.0,-0.0,-0.0,-0.0,60
-0.04960000000000031,-0.0,-0.0,-0.0,0.0,60
-0.04920000000000031,-0.0,-0.0,-0.0,0.0,60
-0.048800000000000315,-0.0,-0.0,-0.0,0.0,60
-0.04840000000000032,-0.0,-0.0,-0.0,0.0,60
-0.04800000000000032,-0.0,-0.0,-0.0,0.0,60
-0.04760000000000032,-0.0,-0.0,-0.0,-0.0,60
-0.047200000000000325,-0.0,-0.0,-0.0,-0.0,60
-0.04680000000000033,-0.0,-0.0,-0.0,-0.0,60
-0.04640000000000033,-0.0,-0.0,-0.0,-0.0,60
-0.04600000000000033,-0.0,-0.0,-0.0,-0.0,60
-0.045600000000000335,-0.0,-0.0,-0.0,-0.0,60
-0.04520000000000034,-0.0,-0.0,-0.0,0.0,60
-0.04480000000000034,-0.0,-0.0,-0.0,0.0,60
-0.04440000000000034,-0.0,-0.0,-0.0,0.0,60
-0.044000000000000344,-0.0,-0.0,-0.0,0.0,60
-0.04360000000000035,-0.0,-0.0,0.0,0.0,60
-0.04320000000000035,-0.0,0.0,0.0,-0.0,60
-0.04280000000000035,-0.0,0.0,0.0,-0.0,60
-0.042400000000000354,-0.0,0.0,0.0,-0.0,60
-0.042000000000000356,-0.0,0.0,0.0,-0.0,60
-0.04160000000000036,-0.0,0.0,0.0,-0.0,60
-0.04120000000000036,-0.0,0.0,0.0,-0.0,60
-0.040800000000000364,-0.0,0.0,0.0,0.0,60
-0.040400000000000366,-0.0,0.0,0.0,0.0,60
-0.04000000000000037,-0.0,0.0,0.0,0.0,60
-0.03960000000000037,-0.0,0.0,0.0,0.0,60
-0.03920000000000037,-0.0,0.0,0.0,0.0,60
-0.038800000000000376,-0.0,0.0,0.0,-0.0,60
-0.03840000000000038,-0.0,0.0,0.0,-0.0,60
-0.03800000000000038,-0.0,0.0,0.0,-0.0,60
-0.03760000000000038,-0.0,0.0,0.0,-0.0,60
-0.037200000000000386,-0.0,0.0,-0.0,-0.0,60
-0.03680000000000039,-0.0,0.0,-0.0,0.0,60
-0.03640000000000039,-0.0,0.0,-0.0,0.0,60
-0.03600000000000039,-0.0,0.0,-0.0,0.0,60
-0.035600000000000395,-0.0,0.0,-0.0,0.0,60
-0.0352000000000004,-0.0,0.0,-0.0,0.0,60
-0.0348000000000004,-0.0,0.0,-0.0,0.0,60
-0.0344000000000004,-0.0,0.0,-0.0,-0.0,60
-0.034000000000000405,-0.0,0.0,-0.0,-0.0,60
-0.03360000000000041,-0.0,0.0,-0.0,-0.0,60
-0.03320000000000041,-0.0,0.0,-0.0,-0.0,60
-0.03280000000000041,-0.0,-0.0,-0.0,-0.0,60
-0.032400000000000415,-0.0,-0.0,-0.0,0.0,60
-0.03200000000000042,-0.0,-0.0,-0.0,0.0,60
-0.03160000000000042,-0.0,-0.0,-0.0,0.0,60
-0.031200000000000422,-0.0,-0.0,-0.0,0.0,60
-0.030800000000000424,-0.0,-0.0,-0.0,0.0,60
-0.030400000000000427,-0.0,-0.0,0.0,-0.0,60
-0.03000000000000043,-0.0,-0.0,0.0,-0.0,60
-0.02960000000000043,-0.0,-0.0,0.0,-0.0,60
-0.029200000000000434,-0.0,-0.0,0.0,-0.0,60
-0.028800000000000436,-0.0,-0.0,0.0,-0.0,60
-0.02840000000000044,-0.0,-0.0,0.0,-0.0,60
-0.02800000000000044,-0.0,-0.0,0.0,0.0,60
-0.027600000000000444,-0.0,-0.0,0.0,0.0,60
-0.027200000000000446,-0.0,-0.0,0.0,0.0,60
-0.02680000000000045,-0.0,-0.0,0.0,0.0,60
-0.02640000000000045,-0.0,-0.0,0.0,0.0,60
-0.026000000000000453,-0.0,-0.0,0.0,-0.0,60
-0.025600000000000456,-0.0,-0.0,0.0,-0.0,60
-0.025200000000000458,-0.0,-0.0,0.0,-0.0,60
-0.02480000000000046,-0.0,-0.0,0.0,-0.0,60
-0.024400000000000463,-0.0,-0.0,0.0,-0.0,60
-0.024000000000000465,-0.0,-0.0,-0.0,0.0,60
-0.023600000000000468,-0.0,-0.0,-0.0,0.0,60
-0.02320000000000047,-0.0,-0.0,-0.0,0.0,60
-0.022800000000000473,-0.0,-0.0,-0.0,0.0,60
-0.022400000000000475,-0.0,-0.0,-0.0,0.0,60
-0.022000000000000478,-0.0,0.0,-0.0,0.0,60
-0.02160000000000048,-0.0,0.0,-0.0,-0.0,60
-0.021200000000000482,-0.0,0.0,-0.0,-0.0,60
-0.020800000000000485,-0.0,0.0,-0.0,-0.0,60
-0.020400000000000487,-0.0,0.0,-0.0,-0.0,60
-0.02000000000000049,-0.0,0.0,-0.0,-0.0,60
