sample,time,X
CF,-0.8181446746067556,0.00013001825584822848
CF,-0.8114733927029505,0.00005658548787360718
CF,-0.8048021107989554,-0.000017802277083511927
CF,-0.7981308288949607,-0.0000387832107900952
CF,-0.7914595469909655,0.00015195318654046924
CF,-0.7847882650869709,-0.00011507696972484869
CF,-0.7781169831829757,-0.00015608484015235764
CF,-0.7714457012791707,-0.00010935498780458415
CF,-0.7647744193751755,-0.0001846947497536802
CF,-0.7581031374711809,-0.0002018606955144737
CF,-0.7514318555671857,-0.00015608484015235764
CF,-0.744760573663191,-0.00004069360215052195
CF,-0.7380892917591959,-0.000015895283109037173
CF,-0.7314180098553908,-0.000030200237909698427
CF,-0.7247467279513957,-0.0000263852499639087
CF,-0.718075446047401,0.00003274156321321107
CF,-0.7114041641434059,-0.00019804670756552425
CF,-0.7047328822394112,-0.000233333596069609
CF,-0.6980616003354161,-0.00034491324351160706
CF,-0.691390318431611,-0.00026480449663106374
CF,-0.6847190365276159,-0.0002514525388192197
CF,-0.6780477546236212,-0.00004259819873588498
CF,-0.6713764727196261,-0.00006071814148233596
CF,-0.6647051908156314,-0.00010553999985879443
CF,-0.6580339089116367,-0.0001732507859131512
CF,-0.6513626270078312,-0.000274341466497118
CF,-0.6446913451038365,-0.00025431452977619227
CF,-0.6380200631998414,-0.00018946373468512747
CF,-0.6313487812958467,-0.0002552675267650095
CF,-0.6246774993918516,-0.0002619435056709315
CF,-0.6180062174878569,-0.00004450519271035968
CF,-0.6113349355840514,0.000018436608412549817
CF,-0.6046636536800567,-0.00003496822284430542
CF,-0.5979923717760616,-0.00014750186727196092
CF,-0.5913210898720669,-0.000238101581004216
CF,-0.5846498079680718,-0.00024000857497869071
CF,-0.5779785260640771,-0.000256221523750667
CF,-0.5713072441602716,-0.00021998163825776495
CF,-0.5646359622562769,-0.00021998163825776495
CF,-0.5579646803522817,-0.0003773381410587193
CF,-0.5512933984482871,-0.00016943679796420168
CF,-0.5446221165442919,-0.00009695702697839765
CF,-0.5379508346402972,-0.00013796489740590666
CF,-0.5312795527364917,-0.00019804670756552425
CF,-0.5246082708324971,-0.000233333596069609
CF,-0.5179369889285019,-0.000035924617219074736
CF,-0.5112657070245072,-0.000055949156550888697
CF,-0.5045944251205121,0.00005467849389913243
CF,-0.4979231432165174,-0.00011603096671050617
CF,-0.49125186131271237,-0.0002295186081238192
CF,-0.48458057940871724,-0.00016276321644739144
CF,-0.47790929750472255,-0.00010553999985879443
CF,-0.4712380156007274,-0.00010267900889866213
CF,-0.46456673369673274,-0.00018851213508858176
CF,-0.4578954517927376,-0.000060720538871447737
CF,-0.45122416988893255,0.00005277049992781735
CF,-0.4445528879849374,0.00021489498766337874
CF,-0.43788160608094273,-0.00006739312039141766
CF,-0.4312103241769476,-0.00007406909929733968
CF,-0.4245390422729529,-0.0002867384273264642
CF,-0.4178677603689578,-0.00006548612641694296
CF,-0.4111964784651527,-0.00016276081905827966
CF,-0.4045251965611576,-0.00009028204806931596
CF,-0.3978539146571629,-0.00009123504505813317
CF,-0.3911826327531678,-0.00017038979495301895
CF,-0.3845113508491731,-0.00021616765030881552
CF,-0.37784006894517796,-0.000267665487591196
CF,-0.3711687870413729,-0.00006739312039141766
CF,-0.3644975051373778,-0.00016943679796420168
CF,-0.3578262232333831,-0.0004002264687385134
CF,-0.35115494132938796,-0.00018850973769946999
CF,-0.3444836594253933,-0.00006262513545681072
CF,-0.3378123775213986,-0.00005213516860193924
CF,-0.3311410956175931,-0.0000178046744726237
CF,-0.3244698137135984,-0.00003687621681562045
CF,-0.31779853180960327,-0.00017611177687328343
CF,-0.3111272499056086,-0.00021616765030881552
CF,-0.30445596800161345,-0.00027815545444606746
CF,-0.29778468609761877,-0.0000807450782032617
CF,-0.29111340419381326,-0.00003592221982996296
CF,-0.2844421222898186,-0.00009600402998958049
CF,-0.27777084038582345,-0.00009409603601826541
CF,-0.27109955848182876,-0.00012461393959090295
CF,-0.26442827657783363,-0.00003115423489535591
CF,-0.25775699467383895,-0.000010173301188772638
CF,-0.25108571277003344,-0.00022475302057832402
CF,-0.24441443086603876,-0.00022665761716368697
CF,-0.23774314896204363,-0.00036875506817863853
CF,-0.23107186705804894,-0.00021616765030881552
CF,-0.2244005851540538,-0.000023524259003776407
CF,-0.21772930325005913,-0.00011412297273919115
CF,-0.21105802134625362,-0.0001341509094569572
CF,-0.20438673944225894,-0.00015799183412683245
CF,-0.1977154575382638,-0.0002533605327905348
CF,-0.19104417563426912,-0.000055949156550888697
CF,-0.184372893730274,-0.00010077201492418743
CF,-0.1777016118262793,-0.00015703883713801518
CF,-0.1710303299224738,-0.0002390555779898735
CF,-0.16435904801847911,-0.00028197044239185724
CF,-0.15768776611448443,-0.0001608528250869647
CF,-0.1510164842104893,0.000016529614438075063
CF,-0.1443452023064946,0.00010331534022138073
CF,-0.13767392040249948,8.900638543335882e-6
CF,-0.13100263849869442,0.00015004519256915427
CF,-0.1243313565946993,-0.00003306122886983072
CF,-0.11766007469070461,-0.0001398728913772217
CF,-0.11098879278670948,-0.00021235266236302574
CF,-0.10431751088271479,-0.00022475062318921224
CF,-0.09764622897871966,-0.0001637148160439372
CF,-0.0909749470749146,0.00004037353909847123
CF,-0.08430366517091947,0.00004323453005860347
CF,-0.07763238326692479,-0.00006739312039141766
CF,-0.07096110136292966,-0.00003210723188417318
CF,-0.06428981945893497,-0.00015608484015235764
CF,-0.05761853755493984,-0.0001360579034314319
CF,-0.05094725565113478,-0.0000387832107900952
CF,-0.04427597374713965,0.000023205593343997083
CF,-0.037604691843144966,0.0000508635059533427
CF,-0.030933409939149836,0.00007089044267426849
CF,-0.02426212803515515,6.992644572020802e-6
CF,-0.01759084613116002,0.00013192524982270313
CF,-0.010919564227354961,0.0002606708430254947
CF,-0.004248282323359831,0.00015004519256915427
CF,0.0024229995806348548,0.0000346495571845261
CF,0.00909428148462954,0.0001729331202502122
CF,0.01576556338862467,0.0003636675175870959
CF,0.02243684529242973,0.00042374932774671346
CF,0.02910812719642486,0.0005057650686017315
CF,0.035779409100419546,0.0002930957405726069
CF,0.042450691004414676,0.0004027683940401302
CF,0.04912197290840936,0.0005057650686017315
CF,0.05579325481240449,0.0005477299360054191
CF,0.06246453671620955,0.0006059027521968811
CF,0.06913581862020468,0.000744182315275206
CF,0.07580710052419937,0.0008595819506471954
CF,0.0824783824281945,0.0009292017306697074
CF,0.08914966433218918,0.0009988215106922196
CF,0.09582094623618431,0.001009311477547091
CF,0.10249222813998937,0.001009311477547091
CF,0.1091635100439845,0.0010684312907463286
CF,0.11583479194797919,0.0010207514414002589
CF,0.12250607385197432,0.0010102614745453875
CF,0.129177355755969,0.0011771509472250346
CF,0.13584863765996413,0.0012067208537930565
CF,0.1425199195637692,0.001132331088842257
CF,0.14919120146776432,0.0011571210105135882
CF,0.155862483371759,0.0010665312967497362
CF,0.16253376527575414,0.0009759315830174811
CF,0.16920504717974882,0.0007880521766596878
CF,0.1758763290837435,0.0007279723664937506
CF,0.182547610987549,0.0008929618451768056
CF,0.1892188928915437,0.0009559016463060344
CF,0.19589017479553883,0.0008643519355754829
CF,0.20256145669953352,0.0006364226557631994
CF,0.20923273860352865,0.0006078127461618768
CF,0.21590402050752333,0.0005029040776415993
CF,0.22257530241132883,0.0006707525472911058
CF,0.22924658431532352,0.0006106727371251689
CF,0.23591786621931865,0.0004618962072140903
CF,0.24258914812331334,0.00040658338198592
CF,0.24926043002730847,0.0003598535296381465
CF,0.25593171193130315,0.00030740069537326824
CF,0.26260299383510866,0.00038941643622828615
CF,0.26927427573910334,0.0005658528787423909
CF,0.27594555764309847,0.000541053957099497
CF,0.28261683954709316,0.00035031655977209216
CF,0.2892881214510883,0.00040086140006565554
CF,0.295959403355083,0.0005353295777901208
CF,0.3026306852588885,0.0003684365025185433
CF,0.30930196716288316,0.00041325836089500177
CF,0.3159732490668783,0.0005505909269655513
CF,0.322644530970873,0.00047715415900356865
CF,0.3293158128748681,0.00030740069537326824
CF,0.3359870947788628,0.00026353183398562693
CF,0.34265837668266785,0.0003531775507322245
CF,0.349329658586663,0.00040467538801460494
CF,0.35600094049065767,0.000299771719478529
CF,0.3626722223946528,0.00017865510217047667
CF,0.3693435042986475,0.00013669423475415056
CF,0.3760147862026426,0.00006230746979387166
