filename,freq,power.real,power.imag,dR/R.real,dR/R.imag,residual.real,residual.imag,best_fit.real,best_fit.imag
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.21919583543326995,3.974136629054513e-15,-1.124044858460892e-15,-0.01957926634054273,-0.015222684173290259,0.003549476599240638,0.0013970646013044606,-0.016029789741302085,-0.013825619571985803
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.23605705354352147,7.598678532353041e-15,-2.324291090241175e-15,-0.014694959794792243,-0.00870111599185422,0.003105883672478167,0.0014700305887395512,-0.01158907612231409,-0.007231085403114656
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.252918271653773,3.622830450228701e-15,-1.192718291230767e-15,-0.010159516013671483,-0.00512658344972528,0.004325970631971455,0.002123738372633168,-0.005833545381700021,-0.0030028450770921114
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.26977948976402455,7.893954596548345e-15,-2.7857197799994855e-15,0.006135602024866134,0.00015553841615747544,-0.00585339947034477,-0.0014773266393177244,0.0002822025545213845,-0.001321788223160257
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.2866407078742761,6.496469687243252e-15,-2.4486479146532756e-15,0.00979096934748375,-0.002722062836371704,-0.00392891210295166,0.0007209818469461646,0.005862057244532098,-0.002001080989425544
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.30350192598452763,-6.742393472515767e-16,2.7059513707296936e-16,0.01018436436562446,-0.001716532065998883,-2.2987877164075345e-6,-0.00284688022004163,0.010182065577908048,-0.004563412286040512
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.3203631440947792,6.724796342157493e-16,-2.865887942791507e-16,0.013529014238750834,-0.011097776740543101,-0.0007624781884576375,0.00275989979543218,0.012766536050293213,-0.008337876945110925
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.3372243622050307,-1.8678913175314643e-15,8.432660734539905e-16,0.022470676784617557,-0.011823373358666775,-0.009046134046354407,-0.0007446996643573063,0.01342454273826315,-0.012568073023024078
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.3540855803152822,5.0691843432570245e-15,-2.4191597327528347e-15,0.01687447652433562,-0.024884239599300518,-0.004627630535934124,0.008364751358888603,0.012246845988401494,-0.01651948824041191
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.37094679842553374,1.661090662929944e-15,-8.364101910273023e-16,0.007103300463308931,-0.024845653875672405,0.002463818621190408,0.005271730723293234,0.00956711908449934,-0.019573923152379165
