temperature,number,2theta,lattice_spacing,intensity,norm_intensity,log_intensity,best_fit
400.0,8,45.9364,0.39480275502118,67.0,0.00003033286482261788,1.985340967744384,1.9188361421982294
400.0,8,45.9414,0.39476211373661607,68.66666666666667,0.000031087413698802404,1.9960121306930487,1.930615533259368
400.0,8,45.946400000000004,0.3947214815698946,68.0,0.0000307855941483286,1.9917750777497938,1.942643054628865
400.0,8,45.9514,0.39468085851804596,77.83333333333333,0.000035237432517817285,2.050431795226026,1.9549199489096418
400.0,8,45.9564,0.3946402445781014,75.0,0.0000339546994283036,2.034327428435258,1.9674480573731141
400.0,8,45.961400000000005,0.3945996397470938,71.66666666666667,0.00003244560167593455,2.0145833702395004,1.9802298161355247
400.0,8,45.9664,0.39455904402205705,75.0,0.0000339546994283036,2.034327428435258,1.9932682537334006
400.0,8,45.9714,0.39451845740002645,75.66666666666667,0.00003425651897877741,2.038170767517018,2.006566990416356
400.0,8,45.9764,0.3944778798780388,78.33333333333333,0.000035463797180672645,2.0532127725956313,2.020130239454758
400.0,8,45.9814,0.3944373114531318,78.83333333333333,0.000035690161843528,2.055976055397725,2.0339628107448617
400.0,8,45.9864,0.39439675212234476,82.83333333333333,0.00003750107914637086,2.0774713033932466,2.048070116982808
400.0,8,45.9914,0.3943562018827181,95.16666666666667,0.00004308474083013635,2.1377510229057624,2.0624581826753423
400.0,8,45.9964,0.3943156607312935,92.33333333333333,0.00004180200774062265,2.1246246793883437,2.0771336562557727
400.0,8,46.001400000000004,0.3942751286651141,92.33333333333333,0.00004180200774062265,2.1246246793883437,2.092103825581129
400.0,8,46.0064,0.3942346056812243,100.5,0.00004549929723392682,2.1614322268000654,2.107376637101016
400.0,8,46.0114,0.39419409177666964,100.33333333333333,0.00004542384234630837,2.1607114059177386,2.1229607190090123
400.0,8,46.016400000000004,0.39415358694849695,107.5,0.00004866840251390182,2.1906746292951818,2.138865408715778
400.0,8,46.0214,0.39411309119375465,107.0,0.00004844203785104646,2.188649942728767,2.1551007850201502
400.0,8,46.0264,0.394072604509492,110.33333333333333,0.00004995113560341551,2.2019729040996134,2.1716777053994116
400.0,8,46.031400000000005,0.3940321268927598,112.83333333333333,0.0000510829589176923,2.2117035833450585,2.1886078488954785
400.0,8,46.0364,0.3939916583406102,121.66666666666667,0.000055082067961470285,2.24443777478037,2.2059037651413598
400.0,8,46.0414,0.3939511988500963,128.0,0.00005794935369097147,2.266476134691426,2.2235789301517124
400.0,8,46.0464,0.39391074841827295,128.16666666666666,0.00005802480857858992,2.267041254461345,2.241647809596481
400.0,8,46.0514,0.3938703070421959,131.33333333333334,0.00005945845144334053,2.277641132149469,2.260125930390442
400.0,8,46.056400000000004,0.3938298747189222,138.5,0.00006270301161093397,2.300715938444025,2.279029961563951
400.0,8,46.0614,0.3937894514455106,144.83333333333334,0.00006557029734043518,2.3201346911085805,2.298377805540241
400.0,8,46.0664,0.39374903721902044,152.5,0.00006904122217088398,2.342536008726362,2.318188701132158
400.0,8,46.071400000000004,0.393708632036513,153.83333333333334,0.0000696448612718316,2.3463166156858257,2.3384833397953533
400.0,8,46.0764,0.39366823589505046,166.0,0.00007515306806797863,2.379374253083612,2.359283996943227
400.0,8,46.0814,0.3936278487916963,169.83333333333334,0.00007688853048320303,2.3892890986663406,2.3806146804485047
400.0,8,46.086400000000005,0.3935874707235154,182.83333333333334,0.00008277401171744233,2.421321542234625,2.402501298841265
400.0,8,46.0914,0.39354710168757395,183.0,0.00008284946660506077,2.421717254773987,2.4249718521787256
400.0,8,46.0964,0.39350674168093913,207.33333333333334,0.00009386588019735483,2.4759352950147138,2.448056649124644
400.0,8,46.1014,0.39346639070067974,215.5,0.000097563169690659,2.4927134395403074,2.4717885544623193
400.0,8,46.1064,0.39342604874386555,213.66666666666666,0.00009673316592685602,2.489002939842713,2.4962032721064804
400.0,8,46.1114,0.39338571580756787,250.66666666666666,0.00011348415097815247,2.5583627509155376,2.521339669711625
400.0,8,46.1164,0.39334539188885914,230.66666666666666,0.00010442956446393817,2.5222510047806526,2.5472401522561423
400.0,8,46.1214,0.393305076984813,264.0,0.00011952054198762867,2.580870091913389,2.573951093574105
400.0,8,46.126400000000004,0.39326477109250446,293.8333333333333,0.00013302696687133165,2.627367226959236,2.601523336803367
400.0,8,46.1314,0.39322447420900997,313.0,0.0001417042789474537,2.654810502590006,2.630012777237931
400.0,8,46.1364,0.3931841863314069,324.6666666666667,0.00014698612108074536,2.6707038672025103,2.65948104426997
400.0,8,46.141400000000004,0.393143907456774,361.3333333333333,0.00016358619635680488,2.7171741925262634,2.6899963031988867
400.0,8,46.1464,0.3931036375821915,360.6666666666667,0.0001632843768063311,2.716372171094446,2.721634202962788
400.0,8,46.1514,0.39306337670474056,410.8333333333333,0.00018599629797948526,2.7729318382731627,2.7544790027082087
400.0,8,46.156400000000005,0.3930231248215039,442.3333333333333,0.00020025727173937277,2.805015833188331,2.788624919115776
400.0,8,46.1614,0.39298288192956543,481.3333333333333,0.00021791371544209063,2.8417121035575152,2.824177748323392
400.0,8,46.1664,0.3929426480260102,515.5,0.0002333819674038734,2.871494834663093,2.86125683224018
400.0,8,46.1714,0.3929024231079246,583.3333333333334,0.00026409210666458353,2.9251829590101894,2.89999746062406
400.0,8,46.1764,0.3928622071723962,617.3333333333334,0.00027948490373874783,2.9497858926698104,2.940553829835255
400.0,8,46.181400000000004,0.39282200021651414,708.1666666666666,0.0003206078174908044,3.0094016457494286,2.9831027201223206
400.0,8,46.1864,0.3927818022373685,763.0,0.00034543247551727525,3.041790702998438,3.0278481108516133
400.0,8,46.1914,0.3927416132320506,859.0,0.00038889449078550385,3.0932593288748,3.0750270351975826
400.0,8,46.196400000000004,0.39270143319765327,982.3333333333334,0.00044473110762315867,3.1515250461738202,3.12491709488159
400.0,8,46.2014,0.39266126213127045,1135.8333333333333,0.0005142250591197534,3.214580774830606,3.177846231330004
400.0,8,46.2064,0.3926211000299973,1302.3333333333333,0.0005896044918505874,3.27398832154868,3.2342056142591935
400.0,8,46.211400000000005,0.3925809468909303,1507.8333333333333,0.0006826403682841392,3.3376195049766113,3.2944669158093043
400.0,8,46.2164,0.3925408027111673,1710.1666666666667,0.0007742426018529405,3.3923046022699053,3.3592058798036133
400.0,8,46.2214,0.39250066748780726,2040.0,0.0009235678244498578,3.4688963324694564,3.429135133597554
