wavelength,power,path
15,2.2,30.01.20/13h07m44s_MIR (pump 15um 2.2mW H pol) (probe 800nm 0.7mW 45 pol)___294.938-293.071_Mag=0.0.txt
0.64,2.0,30.01.20/10h39m44s_room temp (pump 640nm 2.0mW V pol) (probe 800nm 0.7mW 45 pol)___295.174-293.356_Mag=0.0.txt
