step_center,step_sigma,slow_amplitude,slow_decay,fast_amplitude,fast_decay,filename,label,temperature
-3.000249677648715e-14,4.286460075775267e-14,-0.0006864888259343616,2.255670420405711,-0.00011582505509721841,0.07687157367725961,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake5_30AVG_1Windows_12Harm_001,flake5,150
-1.8129804296004446e-14,2.1098123248464162e-14,-0.0006916793263798127,3.0216932295382035,-0.00009365926277915548,0.11745454012573053,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake3_30AVG_1Windows_12Harm_001,flake3,350
-1.6824173190778195e-14,1.948663452822075e-14,-0.0005291755112430963,6.554728986210489,-0.00023616407749393886,0.2581634233550061,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake9_30AVG_1Windows_12Harm_001,flake9,350
-1.931684739055714e-14,3.549716076634013e-14,-0.0007031590440735869,3.583709700437023,-0.0001381202443280216,0.013834711940203803,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake13_30AVG_1Windows_12Harm_001,flake13,350
-3.2618748796820564e-14,5.5895288397778135e-14,-0.0006701666882751312,3.082793820845972,-0.00016378955224283231,0.03956046076573716,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake20_30AVG_1Windows_12Harm_001,flake20,60
-3.170519802134614e-14,4.7394310698223306e-14,-0.0006484397248236462,2.3964987046744093,-0.0001153865987433278,0.07765160227952128,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake4_30AVG_1Windows_12Harm_001,flake4,150
-1.5653564767135528e-14,2.3318569297714475e-14,-0.0007020106449555641,2.9608412283569923,-0.00010939323645864363,0.021012978085864997,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake12_30AVG_1Windows_12Harm_001,flake12,350
-4.8066687640539846e-14,5.570932604115342e-14,-0.0003669087587212516,10.266746774113289,-0.00023109345186611563,0.22015880402422394,Mattias_FM308-SRO_60degSTAMP_750deg1hr_flakeaftersonication5_30AVG_1Windows_12Harm_001,flakeaftersonication5,750
-1.1778560668461125e-14,2.4404367415797878e-14,-0.0004830160416133822,14.327100868535753,-0.00015202266542324594,0.012913134221331557,Mattias_FM308-SRO_60degSTAMP_350deg1hr_doubleflake5_30AVG_1Windows_12Harm_001,doubleflake5,350
-8.964433458336287e-15,1.2123080317394398e-14,-0.00039808685471776073,6.924366248647655,-0.000044370599006526845,0.018048663822135325,Mattias_FM308-SRO_60degSTAMP_550deg1hr_doubleflake3_30AVG_1Windows_12Harm_001,doubleflake3,550
-9.668823521137205e-15,1.2940759575030825e-14,-0.00044018204802043215,4.718508218686976,-0.0000333234638372204,0.020301128716207595,Mattias_FM308-SRO_60degSTAMP_550deg1hr_doubleflake4_30AVG_1Windows_12Harm_001,doubleflake4,550
-2.7505521103519673e-14,4.2684744627763397e-14,-0.0006420232586208385,2.4461808012684143,-0.00013223381995253192,0.04450133245146359,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake14_30AVG_1Windows_12Harm_001,flake14,150
-1.9428926513859503e-14,3.55443452448867e-14,-0.0006669951927822382,2.7881715267899696,-0.00011967761026276946,0.014094903031881767,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake18_30AVG_1Windows_12Harm_001,flake18,350
-4.242512497445824e-14,9.632183939345396e-14,-0.00028551898162021416,4.488118051797241,-0.00035729976296927646,0.0452904787744397,Mattias_FM308-SRO_60degSTAMP_150deg1hr_doubleflake1_30AVG_1Windows_12Harm_001,doubleflake1,150
-2.950094757291957e-14,4.9402149038257906e-14,-0.0005513630418860771,3.027374440551907,-0.00016978823494717687,0.042690723740021586,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake11_30AVG_1Windows_12Harm_001,flake11,150
-7.517246703273264e-15,1.0665357486061566e-14,-0.0004026113924524566,6.520317110235284,-0.00005550867972914375,0.014357980132934989,Mattias_FM308-SRO_60degSTAMP_550deg1hr_doubleflake1_30AVG_1Windows_12Harm_001,doubleflake1,550
-2.292135955110399e-14,3.5086378247228825e-14,-0.0006514987358556823,2.6572631141839578,-0.00015255574785477677,0.03326989909995137,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake3_30AVG_1Windows_12Harm_001,flake3,60
-4.580565714747673e-14,9.425182856404036e-14,-0.00035126547227726235,3.5623517409858887,-0.0003831825820199697,0.04954210762402589,Mattias_FM308-SRO_60degSTAMP_150deg1hr_doubleflake2_30AVG_1Windows_12Harm_001,doubleflake2,150
-2.0582123048651364e-14,2.7064461782799754e-14,-0.0005500451727353806,1.8121295243915976,-0.0000859802533597076,0.11349034709710648,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake15_30AVG_1Windows_12Harm_001,flake15,550
-2.200118182476954e-14,2.8130830997952216e-14,-0.0006062300702165402,2.034535389009958,-0.00011691101223121336,0.12288166371590492,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake6_30AVG_1Windows_12Harm_001,flake6,550
-1.92011317761412e-14,2.508271368384385e-14,-0.0005280175202937443,1.8782861395298416,-0.00008168596449209531,0.09298455179674625,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake10_30AVG_1Windows_12Harm_001,flake10,550
-3.228076687984054e-14,5.74956748877753e-14,-0.0006244992397324012,2.596195078193587,-0.00015094277426896952,0.041276088440212355,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake18_30AVG_1Windows_12Harm_001,flake18,150
-2.4366486183072947e-14,3.4754976674378215e-14,-0.0005551928869333977,1.9792050760026554,-0.00007983755328844211,0.11341127566851172,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake14_30AVG_1Windows_12Harm_001,flake14,550
-6.655019715076191e-14,7.449874050990956e-14,-0.00047079490448709294,2.8087619608944756,-0.00016179843125740945,0.15073824850728568,Mattias_FM308-SRO_60degSTAMP_750deg1hr_translucentdoubleflakeaftersonication1_30AVG_1Windows_12Harm_001,translucentdoubleflakeaftersonication1,750
-3.7817675096536385e-14,4.326483615813004e-14,-0.0004865151526995959,2.515208380924668,-0.00011079083335729933,0.10641779677377272,Mattias_FM308-SRO_60degSTAMP_750deg1hr_flakeaftersonication2_40AVG_1Windows_12Harm_001,flakeaftersonication2,750
-2.3261997508634976e-14,3.238798118587738e-14,-0.0005662001434618702,2.214576389850116,-0.00007203882793049843,0.10525477569079777,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake9_30AVG_1Windows_12Harm_001,flake9,550
-2.7298542051587633e-14,4.1013858975702535e-14,-0.0005458299624514495,1.682043386331747,-0.0000961252834148496,0.12583424379075492,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake13_30AVG_1Windows_12Harm_001,flake13,550
-4.004315912901212e-14,8.016864949667024e-14,-0.0003578351838200433,3.9178773305167964,-0.00034419665441731695,0.04207450088873399,Mattias_FM308-SRO_60degSTAMP_150deg1hr_doubleflake4_30AVG_1Windows_12Harm_001,doubleflake4,150
-2.2722533730611033e-14,2.9445335059108405e-14,-0.0006526902418979574,2.8134120773799616,-0.00011441731257022525,0.06910857044510377,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake7_30AVG_1Windows_12Harm_001,flake7,60
-5.383460286483606e-14,1.2448320152458338e-13,-0.0003339248613425383,3.2144816878817526,-0.0004170893893693517,0.04932627292808789,Mattias_FM308-SRO_60degSTAMP_NoHeat_doubleflake1_30AVG_1Windows_12Harm_001,doubleflake1,60
-3.0984933965543634e-14,5.108469203207733e-14,-0.0006028708348679856,2.9507806223866915,-0.00015699961528170547,0.04379431497427766,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake10_30AVG_1Windows_12Harm_001,flake10,150
-1.9504888640327506e-14,2.995215186984979e-14,-0.0007599075741087091,1.3238351920543423,-0.00010065200923392581,0.019157244201409407,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake2_30AVG_1Windows_12Harm_001,flake2,350
-1.3982775670544082e-13,5.1499360331774825e-14,-0.00004731725782214369,0.5261627074614025,-0.00006173860888480931,0.09328454929222696,Mattias_FM308-SRO_60degSTAMP_750deg1hr_spotty4_50AVG_1Windows_12Harm_001,spotty4,750
-8.027248011605433e-13,1.0475620371153128e-13,-0.000011821622827312694,3.326737225100107,-0.00012147312576438196,0.13689591402575196,Mattias_FM308-SRO_60degSTAMP_750deg1hr_translucentflakeaftersonication3_50AVG_1Windows_12Harm_001,translucentflakeaftersonication3,750
