2theta,intensity,temperature,ID
11.02,6.738871580475019e-7,60,FM308_membrane
11.04,4.288372823938649e-7,60,FM308_membrane
11.06,6.126246891340927e-7,60,FM308_membrane
11.08,4.288372823938649e-7,60,FM308_membrane
11.1,1.837874067402278e-7,60,FM308_membrane
11.12,5.513622202206834e-7,60,FM308_membrane
11.14,4.900997513072741e-7,60,FM308_membrane
11.16,2.4504987565363707e-7,60,FM308_membrane
11.18,3.675748134804556e-7,60,FM308_membrane
11.2,3.675748134804556e-7,60,FM308_membrane
11.22,4.288372823938649e-7,60,FM308_membrane
11.24,2.4504987565363707e-7,60,FM308_membrane
11.26,4.288372823938649e-7,60,FM308_membrane
11.28,6.738871580475019e-7,60,FM308_membrane
11.3,1.837874067402278e-7,60,FM308_membrane
11.32,5.513622202206834e-7,60,FM308_membrane
11.34,2.4504987565363707e-7,60,FM308_membrane
11.36,3.0631234456704634e-7,60,FM308_membrane
11.38,1.837874067402278e-7,60,FM308_membrane
11.4,3.0631234456704634e-7,60,FM308_membrane
11.42,2.4504987565363707e-7,60,FM308_membrane
11.44,3.675748134804556e-7,60,FM308_membrane
11.46,3.0631234456704634e-7,60,FM308_membrane
11.48,4.288372823938649e-7,60,FM308_membrane
11.5,2.4504987565363707e-7,60,FM308_membrane
11.52,4.288372823938649e-7,60,FM308_membrane
11.54,6.126246891340927e-7,60,FM308_membrane
11.56,3.675748134804556e-7,60,FM308_membrane
11.58,4.288372823938649e-7,60,FM308_membrane
11.6,6.126246891340927e-8,60,FM308_membrane
11.62,3.0631234456704634e-7,60,FM308_membrane
11.64,6.126246891340927e-8,60,FM308_membrane
11.66,4.288372823938649e-7,60,FM308_membrane
11.68,1.2252493782681854e-7,60,FM308_membrane
11.7,3.0631234456704634e-7,60,FM308_membrane
11.72,3.0631234456704634e-7,60,FM308_membrane
11.74,3.675748134804556e-7,60,FM308_membrane
11.76,3.0631234456704634e-7,60,FM308_membrane
11.78,3.675748134804556e-7,60,FM308_membrane
11.8,4.288372823938649e-7,60,FM308_membrane
11.82,3.0631234456704634e-7,60,FM308_membrane
11.84,1.837874067402278e-7,60,FM308_membrane
11.86,3.0631234456704634e-7,60,FM308_membrane
11.88,5.513622202206834e-7,60,FM308_membrane
11.9,4.288372823938649e-7,60,FM308_membrane
11.92,5.513622202206834e-7,60,FM308_membrane
11.94,5.513622202206834e-7,60,FM308_membrane
11.96,3.0631234456704634e-7,60,FM308_membrane
11.98,4.288372823938649e-7,60,FM308_membrane
12.0,4.900997513072741e-7,60,FM308_membrane
12.02,1.2252493782681854e-7,60,FM308_membrane
12.04,3.675748134804556e-7,60,FM308_membrane
12.06,5.513622202206834e-7,60,FM308_membrane
12.08,6.126246891340927e-8,60,FM308_membrane
12.1,3.0631234456704634e-7,60,FM308_membrane
12.12,4.288372823938649e-7,60,FM308_membrane
12.14,3.0631234456704634e-7,60,FM308_membrane
12.16,4.900997513072741e-7,60,FM308_membrane
12.18,1.2252493782681854e-7,60,FM308_membrane
12.2,1.837874067402278e-7,60,FM308_membrane
12.22,3.0631234456704634e-7,60,FM308_membrane
12.24,1.837874067402278e-7,60,FM308_membrane
12.26,4.288372823938649e-7,60,FM308_membrane
12.28,1.837874067402278e-7,60,FM308_membrane
12.3,6.126246891340927e-7,60,FM308_membrane
12.32,6.126246891340927e-8,60,FM308_membrane
12.34,4.288372823938649e-7,60,FM308_membrane
12.36,6.738871580475019e-7,60,FM308_membrane
12.38,2.4504987565363707e-7,60,FM308_membrane
12.4,3.0631234456704634e-7,60,FM308_membrane
12.42,4.288372823938649e-7,60,FM308_membrane
12.44,3.675748134804556e-7,60,FM308_membrane
12.46,3.675748134804556e-7,60,FM308_membrane
12.48,3.0631234456704634e-7,60,FM308_membrane
12.5,3.0631234456704634e-7,60,FM308_membrane
12.52,3.0631234456704634e-7,60,FM308_membrane
12.54,5.513622202206834e-7,60,FM308_membrane
12.56,4.288372823938649e-7,60,FM308_membrane
12.58,1.837874067402278e-7,60,FM308_membrane
12.6,3.0631234456704634e-7,60,FM308_membrane
12.62,3.675748134804556e-7,60,FM308_membrane
12.64,3.675748134804556e-7,60,FM308_membrane
12.66,6.126246891340927e-7,60,FM308_membrane
12.68,3.675748134804556e-7,60,FM308_membrane
12.7,5.513622202206834e-7,60,FM308_membrane
12.72,1.837874067402278e-7,60,FM308_membrane
12.74,2.4504987565363707e-7,60,FM308_membrane
12.76,3.675748134804556e-7,60,FM308_membrane
12.78,3.675748134804556e-7,60,FM308_membrane
12.8,2.4504987565363707e-7,60,FM308_membrane
12.82,5.513622202206834e-7,60,FM308_membrane
12.84,4.288372823938649e-7,60,FM308_membrane
12.86,3.0631234456704634e-7,60,FM308_membrane
12.88,2.4504987565363707e-7,60,FM308_membrane
12.9,3.0631234456704634e-7,60,FM308_membrane
12.92,2.4504987565363707e-7,60,FM308_membrane
12.94,5.513622202206834e-7,60,FM308_membrane
12.96,7.351496269609112e-7,60,FM308_membrane
12.98,1.2252493782681854e-7,60,FM308_membrane
13.0,2.4504987565363707e-7,60,FM308_membrane
13.02,4.900997513072741e-7,60,FM308_membrane
13.04,2.4504987565363707e-7,60,FM308_membrane
13.06,6.126246891340927e-7,60,FM308_membrane
13.08,1.837874067402278e-7,60,FM308_membrane
13.1,1.2252493782681854e-7,60,FM308_membrane
13.12,2.4504987565363707e-7,60,FM308_membrane
13.14,1.837874067402278e-7,60,FM308_membrane
13.16,6.738871580475019e-7,60,FM308_membrane
13.18,3.675748134804556e-7,60,FM308_membrane
13.2,2.4504987565363707e-7,60,FM308_membrane
13.22,2.4504987565363707e-7,60,FM308_membrane
13.24,3.0631234456704634e-7,60,FM308_membrane
13.26,6.126246891340927e-7,60,FM308_membrane
13.28,1.2252493782681854e-7,60,FM308_membrane
13.3,1.837874067402278e-7,60,FM308_membrane
13.32,1.2252493782681854e-7,60,FM308_membrane
13.34,6.126246891340927e-8,60,FM308_membrane
13.36,3.675748134804556e-7,60,FM308_membrane
13.38,6.126246891340927e-8,60,FM308_membrane
13.4,1.837874067402278e-7,60,FM308_membrane
13.42,1.2252493782681854e-7,60,FM308_membrane
13.44,4.900997513072741e-7,60,FM308_membrane
13.46,2.4504987565363707e-7,60,FM308_membrane
13.48,4.900997513072741e-7,60,FM308_membrane
13.5,3.675748134804556e-7,60,FM308_membrane
13.52,1.837874067402278e-7,60,FM308_membrane
13.54,2.4504987565363707e-7,60,FM308_membrane
13.56,4.288372823938649e-7,60,FM308_membrane
13.58,4.900997513072741e-7,60,FM308_membrane
13.6,4.900997513072741e-7,60,FM308_membrane
13.62,6.126246891340927e-7,60,FM308_membrane
13.64,4.288372823938649e-7,60,FM308_membrane
13.66,3.675748134804556e-7,60,FM308_membrane
13.68,3.0631234456704634e-7,60,FM308_membrane
13.7,3.675748134804556e-7,60,FM308_membrane
13.72,1.2252493782681854e-7,60,FM308_membrane
13.74,3.0631234456704634e-7,60,FM308_membrane
13.76,4.288372823938649e-7,60,FM308_membrane
13.78,4.900997513072741e-7,60,FM308_membrane
13.8,4.288372823938649e-7,60,FM308_membrane
13.82,3.0631234456704634e-7,60,FM308_membrane
13.84,4.900997513072741e-7,60,FM308_membrane
13.86,3.0631234456704634e-7,60,FM308_membrane
13.88,4.288372823938649e-7,60,FM308_membrane
13.9,4.900997513072741e-7,60,FM308_membrane
13.92,4.288372823938649e-7,60,FM308_membrane
13.94,2.4504987565363707e-7,60,FM308_membrane
13.96,2.4504987565363707e-7,60,FM308_membrane
13.98,1.837874067402278e-7,60,FM308_membrane
14.0,3.0631234456704634e-7,60,FM308_membrane
14.02,2.4504987565363707e-7,60,FM308_membrane
14.04,6.126246891340927e-7,60,FM308_membrane
14.06,4.900997513072741e-7,60,FM308_membrane
14.08,5.513622202206834e-7,60,FM308_membrane
14.1,6.126246891340927e-8,60,FM308_membrane
14.12,2.4504987565363707e-7,60,FM308_membrane
14.14,1.837874067402278e-7,60,FM308_membrane
14.16,3.675748134804556e-7,60,FM308_membrane
14.18,3.0631234456704634e-7,60,FM308_membrane
14.2,6.126246891340927e-7,60,FM308_membrane
14.22,3.675748134804556e-7,60,FM308_membrane
14.24,3.675748134804556e-7,60,FM308_membrane
14.26,4.288372823938649e-7,60,FM308_membrane
14.28,4.900997513072741e-7,60,FM308_membrane
14.3,1.837874067402278e-7,60,FM308_membrane
14.32,1.837874067402278e-7,60,FM308_membrane
14.34,1.2252493782681854e-7,60,FM308_membrane
14.36,1.837874067402278e-7,60,FM308_membrane
14.38,4.288372823938649e-7,60,FM308_membrane
14.4,2.4504987565363707e-7,60,FM308_membrane
14.42,7.964120958743205e-7,60,FM308_membrane
14.44,4.900997513072741e-7,60,FM308_membrane
14.46,0.0,60,FM308_membrane
14.48,3.0631234456704634e-7,60,FM308_membrane
14.5,2.4504987565363707e-7,60,FM308_membrane
14.52,3.0631234456704634e-7,60,FM308_membrane
14.54,5.513622202206834e-7,60,FM308_membrane
14.56,2.4504987565363707e-7,60,FM308_membrane
14.58,3.675748134804556e-7,60,FM308_membrane
14.6,3.0631234456704634e-7,60,FM308_membrane
14.62,1.837874067402278e-7,60,FM308_membrane
14.64,1.837874067402278e-7,60,FM308_membrane
14.66,2.4504987565363707e-7,60,FM308_membrane
14.68,4.900997513072741e-7,60,FM308_membrane
14.7,3.675748134804556e-7,60,FM308_membrane
14.72,2.4504987565363707e-7,60,FM308_membrane
14.74,1.2252493782681854e-7,60,FM308_membrane
14.76,4.288372823938649e-7,60,FM308_membrane
14.78,1.837874067402278e-7,60,FM308_membrane
14.8,2.4504987565363707e-7,60,FM308_membrane
14.82,1.837874067402278e-7,60,FM308_membrane
14.84,2.4504987565363707e-7,60,FM308_membrane
14.86,3.0631234456704634e-7,60,FM308_membrane
14.88,4.288372823938649e-7,60,FM308_membrane
14.9,1.2252493782681854e-7,60,FM308_membrane
14.92,4.288372823938649e-7,60,FM308_membrane
14.94,3.0631234456704634e-7,60,FM308_membrane
14.96,3.675748134804556e-7,60,FM308_membrane
14.98,1.837874067402278e-7,60,FM308_membrane
15.0,3.0631234456704634e-7,60,FM308_membrane
15.02,1.2252493782681854e-7,60,FM308_membrane
15.04,6.126246891340927e-7,60,FM308_membrane
15.06,3.0631234456704634e-7,60,FM308_membrane
15.08,2.4504987565363707e-7,60,FM308_membrane
15.1,1.837874067402278e-7,60,FM308_membrane
15.12,3.675748134804556e-7,60,FM308_membrane
15.14,1.837874067402278e-7,60,FM308_membrane
15.16,2.4504987565363707e-7,60,FM308_membrane
15.18,4.900997513072741e-7,60,FM308_membrane
15.2,3.675748134804556e-7,60,FM308_membrane
15.22,3.0631234456704634e-7,60,FM308_membrane
15.24,2.4504987565363707e-7,60,FM308_membrane
15.26,4.288372823938649e-7,60,FM308_membrane
15.28,4.900997513072741e-7,60,FM308_membrane
15.3,1.2252493782681854e-7,60,FM308_membrane
15.32,3.675748134804556e-7,60,FM308_membrane
15.34,3.0631234456704634e-7,60,FM308_membrane
15.36,3.675748134804556e-7,60,FM308_membrane
15.38,1.2252493782681854e-7,60,FM308_membrane
15.4,1.2252493782681854e-7,60,FM308_membrane
15.42,4.288372823938649e-7,60,FM308_membrane
15.44,5.513622202206834e-7,60,FM308_membrane
15.46,2.4504987565363707e-7,60,FM308_membrane
15.48,4.288372823938649e-7,60,FM308_membrane
15.5,3.0631234456704634e-7,60,FM308_membrane
15.52,2.4504987565363707e-7,60,FM308_membrane
15.54,4.288372823938649e-7,60,FM308_membrane
15.56,1.837874067402278e-7,60,FM308_membrane
15.58,3.675748134804556e-7,60,FM308_membrane
15.6,2.4504987565363707e-7,60,FM308_membrane
15.62,7.964120958743205e-7,60,FM308_membrane
15.64,1.2252493782681854e-7,60,FM308_membrane
15.66,2.4504987565363707e-7,60,FM308_membrane
15.68,1.837874067402278e-7,60,FM308_membrane
15.7,3.0631234456704634e-7,60,FM308_membrane
15.72,3.0631234456704634e-7,60,FM308_membrane
15.74,4.288372823938649e-7,60,FM308_membrane
15.76,4.900997513072741e-7,60,FM308_membrane
15.78,3.0631234456704634e-7,60,FM308_membrane
15.8,1.2252493782681854e-7,60,FM308_membrane
15.82,2.4504987565363707e-7,60,FM308_membrane
15.84,4.288372823938649e-7,60,FM308_membrane
15.86,4.900997513072741e-7,60,FM308_membrane
15.88,5.513622202206834e-7,60,FM308_membrane
15.9,4.288372823938649e-7,60,FM308_membrane
15.92,5.513622202206834e-7,60,FM308_membrane
15.94,5.513622202206834e-7,60,FM308_membrane
15.96,3.0631234456704634e-7,60,FM308_membrane
15.98,3.675748134804556e-7,60,FM308_membrane
16.0,4.900997513072741e-7,60,FM308_membrane
16.02,3.675748134804556e-7,60,FM308_membrane
16.04,5.513622202206834e-7,60,FM308_membrane
16.06,4.288372823938649e-7,60,FM308_membrane
16.08,4.288372823938649e-7,60,FM308_membrane
16.1,6.126246891340927e-7,60,FM308_membrane
16.12,3.675748134804556e-7,60,FM308_membrane
16.14,1.2252493782681854e-7,60,FM308_membrane
16.16,1.837874067402278e-7,60,FM308_membrane
16.18,2.4504987565363707e-7,60,FM308_membrane
16.2,4.288372823938649e-7,60,FM308_membrane
16.22,1.837874067402278e-7,60,FM308_membrane
16.24,4.288372823938649e-7,60,FM308_membrane
16.26,2.4504987565363707e-7,60,FM308_membrane
16.28,3.0631234456704634e-7,60,FM308_membrane
16.3,1.837874067402278e-7,60,FM308_membrane
16.32,3.0631234456704634e-7,60,FM308_membrane
16.34,5.513622202206834e-7,60,FM308_membrane
16.36,1.2252493782681854e-7,60,FM308_membrane
16.38,3.0631234456704634e-7,60,FM308_membrane
16.4,1.837874067402278e-7,60,FM308_membrane
16.42,3.0631234456704634e-7,60,FM308_membrane
16.44,3.0631234456704634e-7,60,FM308_membrane
16.46,5.513622202206834e-7,60,FM308_membrane
16.48,3.0631234456704634e-7,60,FM308_membrane
16.5,3.0631234456704634e-7,60,FM308_membrane
16.52,3.0631234456704634e-7,60,FM308_membrane
16.54,1.837874067402278e-7,60,FM308_membrane
16.56,2.4504987565363707e-7,60,FM308_membrane
16.58,3.0631234456704634e-7,60,FM308_membrane
16.6,1.2252493782681854e-7,60,FM308_membrane
16.62,1.837874067402278e-7,60,FM308_membrane
16.64,4.288372823938649e-7,60,FM308_membrane
16.66,1.837874067402278e-7,60,FM308_membrane
16.68,3.0631234456704634e-7,60,FM308_membrane
16.7,2.4504987565363707e-7,60,FM308_membrane
16.72,6.738871580475019e-7,60,FM308_membrane
16.74,1.837874067402278e-7,60,FM308_membrane
16.76,1.837874067402278e-7,60,FM308_membrane
16.78,1.837874067402278e-7,60,FM308_membrane
16.8,3.675748134804556e-7,60,FM308_membrane
16.82,1.837874067402278e-7,60,FM308_membrane
16.84,3.675748134804556e-7,60,FM308_membrane
16.86,5.513622202206834e-7,60,FM308_membrane
16.88,5.513622202206834e-7,60,FM308_membrane
16.9,3.0631234456704634e-7,60,FM308_membrane
16.92,3.0631234456704634e-7,60,FM308_membrane
16.94,2.4504987565363707e-7,60,FM308_membrane
16.96,1.837874067402278e-7,60,FM308_membrane
16.98,1.2252493782681854e-7,60,FM308_membrane
17.0,3.675748134804556e-7,60,FM308_membrane
17.02,2.4504987565363707e-7,60,FM308_membrane
17.04,1.837874067402278e-7,60,FM308_membrane
17.06,5.513622202206834e-7,60,FM308_membrane
17.08,1.837874067402278e-7,60,FM308_membrane
17.1,6.126246891340927e-8,60,FM308_membrane
17.12,4.288372823938649e-7,60,FM308_membrane
17.14,4.288372823938649e-7,60,FM308_membrane
17.16,3.675748134804556e-7,60,FM308_membrane
17.18,5.513622202206834e-7,60,FM308_membrane
17.2,1.837874067402278e-7,60,FM308_membrane
17.22,2.4504987565363707e-7,60,FM308_membrane
17.24,3.675748134804556e-7,60,FM308_membrane
17.26,3.0631234456704634e-7,60,FM308_membrane
17.28,1.2252493782681854e-7,60,FM308_membrane
17.3,2.4504987565363707e-7,60,FM308_membrane
17.32,3.0631234456704634e-7,60,FM308_membrane
17.34,1.837874067402278e-7,60,FM308_membrane
17.36,3.0631234456704634e-7,60,FM308_membrane
17.38,3.675748134804556e-7,60,FM308_membrane
17.4,1.837874067402278e-7,60,FM308_membrane
17.42,3.0631234456704634e-7,60,FM308_membrane
17.44,4.288372823938649e-7,60,FM308_membrane
17.46,4.288372823938649e-7,60,FM308_membrane
17.48,1.837874067402278e-7,60,FM308_membrane
17.5,6.126246891340927e-8,60,FM308_membrane
17.52,1.2252493782681854e-7,60,FM308_membrane
17.54,1.837874067402278e-7,60,FM308_membrane
17.56,3.675748134804556e-7,60,FM308_membrane
17.58,4.288372823938649e-7,60,FM308_membrane
17.6,6.126246891340927e-7,60,FM308_membrane
17.62,3.0631234456704634e-7,60,FM308_membrane
17.64,1.837874067402278e-7,60,FM308_membrane
17.66,2.4504987565363707e-7,60,FM308_membrane
17.68,3.675748134804556e-7,60,FM308_membrane
17.7,1.837874067402278e-7,60,FM308_membrane
17.72,2.4504987565363707e-7,60,FM308_membrane
17.74,5.513622202206834e-7,60,FM308_membrane
17.76,1.837874067402278e-7,60,FM308_membrane
17.78,4.900997513072741e-7,60,FM308_membrane
17.8,2.4504987565363707e-7,60,FM308_membrane
17.82,4.900997513072741e-7,60,FM308_membrane
17.84,4.288372823938649e-7,60,FM308_membrane
17.86,1.837874067402278e-7,60,FM308_membrane
17.88,4.288372823938649e-7,60,FM308_membrane
17.9,1.2252493782681854e-7,60,FM308_membrane
17.92,4.288372823938649e-7,60,FM308_membrane
17.94,6.126246891340927e-7,60,FM308_membrane
17.96,6.126246891340927e-8,60,FM308_membrane
17.98,3.675748134804556e-7,60,FM308_membrane
18.0,1.837874067402278e-7,60,FM308_membrane
18.02,4.288372823938649e-7,60,FM308_membrane
18.04,4.900997513072741e-7,60,FM308_membrane
18.06,4.900997513072741e-7,60,FM308_membrane
18.08,2.4504987565363707e-7,60,FM308_membrane
18.1,3.675748134804556e-7,60,FM308_membrane
18.12,5.513622202206834e-7,60,FM308_membrane
18.14,6.738871580475019e-7,60,FM308_membrane
