2theta,intensity,T
11.04,4.288372823938649e-7,60.0
11.06,6.126246891340927e-7,60.0
11.08,4.288372823938649e-7,60.0
11.1,1.837874067402278e-7,60.0
11.12,5.513622202206834e-7,60.0
11.14,4.900997513072741e-7,60.0
11.16,2.4504987565363707e-7,60.0
11.18,3.675748134804556e-7,60.0
11.2,3.675748134804556e-7,60.0
11.22,4.288372823938649e-7,60.0
11.24,2.4504987565363707e-7,60.0
11.26,4.288372823938649e-7,60.0
11.28,6.738871580475019e-7,60.0
11.3,1.837874067402278e-7,60.0
11.32,5.513622202206834e-7,60.0
11.34,2.4504987565363707e-7,60.0
11.36,3.0631234456704634e-7,60.0
11.38,1.837874067402278e-7,60.0
11.4,3.0631234456704634e-7,60.0
11.42,2.4504987565363707e-7,60.0
11.44,3.675748134804556e-7,60.0
11.46,3.0631234456704634e-7,60.0
11.48,4.288372823938649e-7,60.0
11.5,2.4504987565363707e-7,60.0
11.52,4.288372823938649e-7,60.0
11.54,6.126246891340927e-7,60.0
11.56,3.675748134804556e-7,60.0
11.58,4.288372823938649e-7,60.0
11.6,6.126246891340927e-8,60.0
11.62,3.0631234456704634e-7,60.0
11.64,6.126246891340927e-8,60.0
11.66,4.288372823938649e-7,60.0
11.68,1.2252493782681854e-7,60.0
11.7,3.0631234456704634e-7,60.0
11.72,3.0631234456704634e-7,60.0
11.74,3.675748134804556e-7,60.0
11.76,3.0631234456704634e-7,60.0
11.78,3.675748134804556e-7,60.0
11.8,4.288372823938649e-7,60.0
11.82,3.0631234456704634e-7,60.0
11.84,1.837874067402278e-7,60.0
11.86,3.0631234456704634e-7,60.0
11.88,5.513622202206834e-7,60.0
11.9,4.288372823938649e-7,60.0
11.92,5.513622202206834e-7,60.0
11.94,5.513622202206834e-7,60.0
11.96,3.0631234456704634e-7,60.0
11.98,4.288372823938649e-7,60.0
12.0,4.900997513072741e-7,60.0
12.02,1.2252493782681854e-7,60.0
12.04,3.675748134804556e-7,60.0
12.06,5.513622202206834e-7,60.0
12.08,6.126246891340927e-8,60.0
12.1,3.0631234456704634e-7,60.0
12.12,4.288372823938649e-7,60.0
12.14,3.0631234456704634e-7,60.0
12.16,4.900997513072741e-7,60.0
12.18,1.2252493782681854e-7,60.0
12.2,1.837874067402278e-7,60.0
12.22,3.0631234456704634e-7,60.0
12.24,1.837874067402278e-7,60.0
12.26,4.288372823938649e-7,60.0
12.28,1.837874067402278e-7,60.0
12.3,6.126246891340927e-7,60.0
12.32,6.126246891340927e-8,60.0
12.34,4.288372823938649e-7,60.0
12.36,6.738871580475019e-7,60.0
12.38,2.4504987565363707e-7,60.0
12.4,3.0631234456704634e-7,60.0
12.42,4.288372823938649e-7,60.0
12.44,3.675748134804556e-7,60.0
12.46,3.675748134804556e-7,60.0
12.48,3.0631234456704634e-7,60.0
12.5,3.0631234456704634e-7,60.0
12.52,3.0631234456704634e-7,60.0
12.54,5.513622202206834e-7,60.0
12.56,4.288372823938649e-7,60.0
12.58,1.837874067402278e-7,60.0
12.6,3.0631234456704634e-7,60.0
12.62,3.675748134804556e-7,60.0
12.64,3.675748134804556e-7,60.0
12.66,6.126246891340927e-7,60.0
12.68,3.675748134804556e-7,60.0
12.7,5.513622202206834e-7,60.0
12.72,1.837874067402278e-7,60.0
12.74,2.4504987565363707e-7,60.0
12.76,3.675748134804556e-7,60.0
12.78,3.675748134804556e-7,60.0
12.8,2.4504987565363707e-7,60.0
12.82,5.513622202206834e-7,60.0
12.84,4.288372823938649e-7,60.0
