# Wavelength:um
# 10.1364/OE.20.028829
wavelength,n
0.40053493879481117,2.297989031078610
0.41342979962789794,2.352833638025594
0.4216990610031398,2.385740402193784
0.4387370875992321,2.413162705667276
0.45646350640942757,2.402193784277879
0.4777360706548269,2.3583180987202925
0.5009911914218967,2.292504570383912
0.5130398718878212,2.2431444241316267
0.5306065116666866,2.1773308957952464
0.5586435690361101,2.089579524680073
0.5800646930800816,2.0511882998171846
0.6035012111615837,2.0018281535648987
0.6391762528443379,1.9634369287020106
0.6623723179596444,1.9305301645338204
0.6932408485000294,1.9085923217550271
0.7226798485777278,1.8866544789762334
0.7503909250825058,1.8647166361974405
0.7745490836153553,1.8482632541133452
0.8106453868489465,1.8372943327239484
0.8334357307343576,1.820840950639853
0.8602674418292218,1.815356489945155
0.882702996290655,1.7989031078610602
0.9057236642639067,1.7934186471663618
0.9183670954505498,1.782449725776965
0.9573662528903083,1.782449725776965
0.9803906099397736,1.771480804387568
1.0240496852484138,1.771480804387568
1.0717734625362934,1.771480804387568
1.1019051158766107,1.7550274223034732
1.1532571890230554,1.7550274223034732
1.1974787046189288,1.7550274223034732
1.2190136542044754,1.771480804387568
1.3195079107728946,1.771480804387568
1.337927554786112,1.7989031078610602
1.4367978962982608,1.7879341864716634
1.4713524334698176,1.815356489945155
1.509724927938378,1.83180987202925
1.5368751812880124,1.83180987202925
1.573836545664088,1.8427787934186468
1.5989699845142031,1.875685557586837
