# Wavelength: um 
# dn/dT: 1e-4/K
# 10.1364/OE.20.028829
wavelength,dn/dT
0.3418803418803419,2.303971557056636
0.349002849002849,2.0545375360925586
0.358974358974359,1.8221384761124573
0.36894586894586895,1.6973667542319308
0.3789173789173789,1.642697824786244
0.3903133903133903,1.6881305264704771
0.40028490028490027,1.6881305264704771
0.405982905982906,1.624868971869652
0.4088319088319088,1.5554677085327064
0.4131054131054131,1.4568840230886917
0.41737891737891736,1.3645484538751913
0.42022792022792027,1.2369009789522487
0.4245014245014245,1.0674656053675764
0.4273504273504274,0.9518989711475593
0.4301994301994302,0.8259989267169754
0.433048433048433,0.7167506716758839
0.4358974358974358,0.6019199318723845
0.44017094017094016,0.5194666633728731
0.4693732193732194,-0.5054862432679965
0.47150997150997154,-0.5730753264870072
0.47364672364672367,-0.6604243613744423
0.4750712250712251,-0.7285797784543561
0.47649572649572647,-0.795045173210734
0.4793447293447294,-0.8867172765379487
0.4814814814814815,-0.9676089174608203
0.4850427350427351,-1.0910196273460662
0.48860398860398857,-1.2168188490508909
0.4914529914529915,-1.3497384667219725
0.4992877492877492,-1.6072336225856356
0.5071225071225072,-1.8221384761124573
0.512108262108262,-2.010182126650043
0.5242165242165242,-2.1935629348073205
0.5341880341880342,-2.329251853945751
0.5512820512820513,-2.45987552995579
0.5754985754985754,-2.3936728345004274
0.5997150997150997,-2.367693351084296
0.6267806267806267,-2.4067692788447372
0.6581196581196581,-2.4331775223521017
0.6866096866096866,-2.45987552995579
0.7037037037037036,-2.555646667717423
0.715099715099715,-2.507303870920146
0.7307692307692307,-2.5486839022019345
0.7507122507122507,-2.6335040184317506
0.7749287749287749,-2.7435096822688227
0.7977207977207976,-2.873747968859397
0.8404558404558403,-3.0598480634660614
0.8803418803418803,-3.357254173210924
0.9116809116809117,-3.6237612596739694
0.9373219373219371,-3.8901403029338733
0.9700854700854701,-4.198949199900951
0.9985754985754985,-4.532272105983354
1.0284900284900287,-4.945733011124816
1.051282051282051,-5.266012100050955
1.0826210826210825,-5.576521350082556
1.116809116809117,-6.152015169963668
1.1438746438746437,-6.3221637303114635
1.1310541310541309,-6.426503430003655
1.1552706552706553,-6.676708587876646
1.165242165242165,-7.24615208770511
1.1816239316239314,-7.426273714042673
1.1937321937321936,-7.778809435174047
1.2065527065527064,-8.170340318035628
1.2222222222222223,-8.534881437631956
1.2635327635327633,-8.534881437631956
1.2806267806267804,-9.212401299964982
1.2977207977207978,-9.676089174608197
1.3304843304843303,-9.782259932797654
