https://www.uni-potsdam.de/fileadmin/projects/udkm/Documents/BaMa_theses/matt2020msc.pdf
Temperature (K),Specific heat (J/(K cm^3))
10.204081632653065, -8.881784197001252e-16
12.882653061224495, -8.881784197001252e-16
15.17857142857143, -8.881784197001252e-16
17.474489795918366, 0.01132075471698002
20.153061224489804, 0.022641509433961815
23.214285714285722, 0.04528301886792363
27.040816326530617, 0.07924528301886724
30.484693877551024, 0.12452830188679176
34.69387755102042, 0.18113207547169718
44.26020408163265, 0.32830188679245254
50.76530612244899, 0.4301886792452825
58.80102040816327, 0.566037735849056
67.21938775510205, 0.7132075471698105
75.63775510204081, 0.849056603773584
84.82142857142857, 1.0075471698113199
92.0918367346939, 1.1207547169811312
97.44897959183673, 1.1999999999999988
107.39795918367348, 1.3358490566037724
114.28571428571429, 1.4377358490566032
125.00000000000001, 1.5622641509433954
130.73979591836735, 1.6301886792452822
140.6887755102041, 1.7433962264150935
149.87244897959187, 1.833962264150942
158.29081632653066, 1.9132075471698102
170.9183673469388, 2.0150943396226406
179.71938775510205, 2.0830188679245274
187.37244897959187, 2.1396226415094333
195.40816326530614, 2.1962264150943387
207.2704081632653, 2.2641509433962255
214.92346938775506, 2.30943396226415
227.1683673469388, 2.3773584905660368
237.88265306122446, 2.433962264150942
